,value,metric,type
0,0.5196750203971031,ade,ml
1,1.0733273628701883,ade,ml
2,0.7730757599064874,ade,ml
3,1.4169882406159848,ade,ml
4,0.6744680609925315,ade,ml
5,0.5161726101993113,ade,ml
6,0.9789968904070762,ade,ml
7,0.7131068474282797,ade,ml
8,0.5258335053974686,ade,ml
9,0.37314984953685215,ade,ml
10,0.9099678138326087,ade,ml
11,0.6185706120908078,ade,ml
12,0.8828070283389403,ade,ml
13,0.6601810290280773,ade,ml
14,0.16104143847405336,ade,ml
15,0.5077891735562902,ade,ml
16,0.05050324879023624,ade,ml
17,0.569191967899433,ade,ml
18,1.208956929392919,ade,ml
19,0.28197575544178854,ade,ml
20,0.6283218936112058,ade,ml
21,0.12804205781552058,ade,ml
22,0.3988200298865807,ade,ml
23,0.3915116364650412,ade,ml
24,0.16455925778158834,ade,ml
25,0.5959112120698248,ade,ml
26,0.08844206584667313,ade,ml
27,0.2933710355828653,ade,ml
28,0.20227674431821374,ade,ml
29,0.902281241532672,ade,ml
30,0.1876293131023278,ade,ml
31,0.9373007521359572,ade,ml
32,0.08827309428780832,ade,ml
33,0.2754058167207361,ade,ml
34,1.8831223400784056,ade,ml
35,0.7830819351076652,ade,ml
36,0.8680496665432068,ade,ml
37,0.5172414589564163,ade,ml
38,1.4244503600186527,ade,ml
39,0.11678073937113982,ade,ml
40,0.883692582179013,ade,ml
41,2.891155179562952,ade,ml
42,1.963941007712646,ade,ml
43,0.7463374057514209,ade,ml
44,0.5002528613962925,ade,ml
45,0.13154478573186842,ade,ml
46,0.10182280614291184,ade,ml
47,1.3883117767150004,ade,ml
48,2.328337995080452,ade,ml
49,0.8666099152261783,ade,ml
50,0.26992553801436,ade,ml
51,0.03762661184577592,ade,ml
52,0.1835977835981868,ade,ml
53,0.6846375651676845,ade,ml
54,2.132987690558487,ade,ml
55,0.8761350409271498,ade,ml
56,0.9680445482963828,ade,ml
57,0.034639323757389096,ade,ml
58,0.20325493603789255,ade,ml
59,0.6406121143697924,ade,ml
60,1.1766597454572716,ade,ml
61,0.2188806016178353,ade,ml
62,1.835906035685175,ade,ml
63,0.03279656237678923,ade,ml
64,0.15078485506540037,ade,ml
65,0.29661637617922393,ade,ml
66,0.5400315588220891,ade,ml
67,0.5554699657697985,ade,ml
68,0.6451390955236042,ade,ml
69,0.037927749521852315,ade,ml
70,0.11836136113813749,ade,ml
71,0.6889897066851717,ade,ml
72,0.5699236932014443,ade,ml
73,1.79973437799915,ade,ml
74,1.3039043301867623,ade,ml
75,0.08776689709901854,ade,ml
76,0.11250493408599654,ade,ml
77,0.6603649067728597,ade,ml
78,0.025473996616441803,ade,ml
79,0.46163080917110216,ade,ml
80,0.5888957662953915,ade,ml
81,1.3153722205512033,ade,ml
82,0.14442228676321253,ade,ml
83,0.05140595923445677,ade,ml
84,1.0851242028867973,ade,ml
85,0.02077858143631175,ade,ml
86,1.018494067928512,ade,ml
87,0.4073497076737446,ade,ml
88,0.4661981119259087,ade,ml
89,0.1829538930311482,ade,ml
90,0.04365350216076875,ade,ml
