,value,metric,type
0,1.7270887307024534,fde,ml
1,3.055623311608594,fde,ml
2,2.2476779488485947,fde,ml
3,3.2931754911240456,fde,ml
4,1.9944478811384168,fde,ml
5,1.6247700781469916,fde,ml
6,2.688530540769749,fde,ml
7,2.1214317967812444,fde,ml
8,1.1884211735335537,fde,ml
9,1.1230546580241119,fde,ml
10,2.6506548041556397,fde,ml
11,1.7440109074156414,fde,ml
12,2.343470668374782,fde,ml
13,1.5287488145183081,fde,ml
14,0.45768663064931137,fde,ml
15,1.523771413089873,fde,ml
16,0.11738024661940816,fde,ml
17,1.6517653789288878,fde,ml
18,2.679905568238944,fde,ml
19,0.6964036172220374,fde,ml
20,1.660692549528989,fde,ml
21,0.2691690566392468,fde,ml
22,0.9408303529906431,fde,ml
23,0.6596191526586292,fde,ml
24,0.39859208385346334,fde,ml
25,1.360510419979092,fde,ml
26,0.19255540702399498,fde,ml
27,0.44168620287531424,fde,ml
28,0.8449343804173779,fde,ml
29,2.5102903647976285,fde,ml
30,0.38530753952584196,fde,ml
31,2.7751236402697765,fde,ml
32,0.1939340970567618,fde,ml
33,0.38171015187768964,fde,ml
34,5.702483595665875,fde,ml
35,3.0064656754454835,fde,ml
36,2.5946677041496895,fde,ml
37,1.4410004421110167,fde,ml
38,3.787342235308778,fde,ml
39,0.2462868543953764,fde,ml
40,2.1630450476473393,fde,ml
41,7.031156983714693,fde,ml
42,5.846188542648948,fde,ml
43,2.1213211036254287,fde,ml
44,1.0977099877982606,fde,ml
45,0.2533313107012369,fde,ml
46,0.1195711366517724,fde,ml
47,3.2886076098842727,fde,ml
48,6.385318718435846,fde,ml
49,2.349065342838288,fde,ml
50,0.831722426826327,fde,ml
51,0.08567394096793067,fde,ml
52,0.2540088622915831,fde,ml
53,1.6380502895449778,fde,ml
54,5.324783345465474,fde,ml
55,2.1719098822430762,fde,ml
56,3.289372658950401,fde,ml
57,0.0847066023977222,fde,ml
58,0.39984172565288695,fde,ml
59,1.4771878568232537,fde,ml
60,2.491499354137275,fde,ml
61,0.16441989477952176,fde,ml
62,5.248584926290478,fde,ml
63,0.04116157319644482,fde,ml
64,0.3479923464216237,fde,ml
65,0.5127340507238795,fde,ml
66,0.8417756045180811,fde,ml
67,1.3732691953540528,fde,ml
68,1.9948954987548522,fde,ml
69,0.08784716310223455,fde,ml
70,0.202066131500932,fde,ml
71,2.018524568169985,fde,ml
72,0.8145354322691217,fde,ml
73,4.71016228143714,fde,ml
74,4.184645905548849,fde,ml
75,0.24873102218597196,fde,ml
76,0.18669179544939496,fde,ml
77,1.8661734804492978,fde,ml
78,0.06676395822811829,fde,ml
79,1.4943391372448906,fde,ml
80,1.2911639362384457,fde,ml
81,3.974613605620846,fde,ml
82,0.3048707528654972,fde,ml
83,0.060291592997743504,fde,ml
84,2.52650552731206,fde,ml
85,0.04816001529537441,fde,ml
86,3.1096042012214333,fde,ml
87,0.6959851088988844,fde,ml
88,1.0693256402395102,fde,ml
89,0.2984743223070175,fde,ml
90,0.05157397097072032,fde,ml
91,2.468173780479849,fde,ml
92,0.03684065556593166,fde,ml
93,1.1750971865744966,fde,ml
94,0.6586160212490476,fde,ml
95,3.9271919190965234,fde,ml
96,0.14335301698235664,fde,ml
97,0.049837382429128,fde,ml
98,3.5999496750837365,fde,ml
99,0.030671742573843957,fde,ml
100,1.2636514997585808,fde,ml
101,0.059702528827566936,fde,ml
102,2.230552512569147,fde,ml
103,0.13353444317464336,fde,ml
104,0.04609447389662721,fde,ml
105,2.53087834890356,fde,ml
106,0.025328758393304056,fde,ml
107,1.2727165267951053,fde,ml
108,0.6549936252230885,fde,ml
109,4.304075235428616,fde,ml
110,0.11938136947373516,fde,ml
111,0.027033450742562956,fde,ml
112,1.621477657112336,fde,ml
113,0.025097153619547174,fde,ml
114,1.4199901384761047,fde,ml
115,0.38253614341942976,fde,ml
116,0.08574602612867535,fde,ml
117,0.11075029780663688,fde,ml
118,0.3795277413655002,fde,ml
119,0.023952343036488997,fde,ml
120,1.2425102063391913,fde,ml
121,0.19812117479651067,fde,ml
122,0.012455115172202316,fde,ml
123,0.060187797956686356,fde,ml
124,0.5405025202259898,fde,ml
125,0.021689218284008792,fde,ml
126,1.8723623872290964,fde,ml
127,0.07240890019945279,fde,ml
128,0.07357080048025275,fde,ml
129,0.06189977106573278,fde,ml
130,0.30992171681239555,fde,ml
131,0.020685253450339277,fde,ml
132,1.4678416923107178,fde,ml
133,1.022112106525657,fde,ml
134,0.06150327096174919,fde,ml
135,0.07376097809919482,fde,ml
136,2.805081870738932,fde,ml
137,0.0248525785069967,fde,ml
138,1.7750740116883146,fde,ml
139,0.3924806324100525,fde,ml
140,0.08916088244764687,fde,ml
141,0.022251175150882298,fde,ml
142,0.27657627429174153,fde,ml
143,0.02588160343500829,fde,ml
144,1.8460379597713534,fde,ml
145,0.28332754863771825,fde,ml
146,0.02323970418797101,fde,ml
147,0.07702185404336952,fde,ml
148,0.4878380064665552,fde,ml
149,0.02456434759106654,fde,ml
150,1.6836727360241,fde,ml
151,0.08708622087287796,fde,ml
152,0.02958835646656324,fde,ml
153,0.06826666903429168,fde,ml
154,0.5274585069940438,fde,ml
155,0.02257971791393354,fde,ml
156,2.461669644146879,fde,ml
157,0.15086624636502136,fde,ml
158,0.029409789555278745,fde,ml
159,0.07671455135183088,fde,ml
160,0.8746206876814921,fde,ml
161,0.020301829354949622,fde,ml
162,1.7872853150330257,fde,ml
163,0.047363330704738735,fde,ml
164,0.016307141622484173,fde,ml
165,0.6068756674518685,fde,ml
166,1.160989101218023,fde,ml
167,0.018363771941726944,fde,ml
168,0.7576720346768031,fde,ml
169,0.1290154178804089,fde,ml
170,0.02807740000199237,fde,ml
171,0.7201314348247859,fde,ml
172,2.1365441184954213,fde,ml
173,0.01759031494572224,fde,ml
174,2.2415577813988343,fde,ml
175,0.08717095659766429,fde,ml
176,0.040259397400106645,fde,ml
177,1.891622464262207,fde,ml
178,2.804042548070918,fde,ml
179,0.019338482730060252,fde,ml
180,1.3797159990606545,fde,ml
181,0.050194441461511016,fde,ml
182,3.6241980224457078,fde,ml
183,0.021565072272797532,fde,ml
184,0.023719518004783502,fde,ml
185,0.05056532056058854,fde,ml
186,0.015215047245948925,fde,ml
187,0.02874913515887359,fde,ml
188,0.01600594805644032,fde,ml
189,0.01554885626929638,fde,ml
190,0.01853351660369229,fde,ml
191,0.009914074490595419,fde,ml
192,0.017474261628205038,fde,ml
193,0.015281331166406691,fde,ml
194,0.015280977217927129,fde,ml
195,0.016339249131987896,fde,ml
196,0.014119474527755034,fde,ml
197,0.015988316085486003,fde,ml
198,0.013187317519947596,fde,ml
199,0.017433929327269088,fde,ml
200,2.3273653498336384,fde,ml
201,2.14835951719319,fde,ml
202,2.6196354766212977,fde,ml
203,2.2497259363522963,fde,ml
204,0.8885870596676313,fde,ml
205,1.0837701253196257,fde,ml
206,2.3038370081105555,fde,ml
207,0.5949592028017022,fde,ml
208,1.102664451534205,fde,ml
209,0.961395235926244,fde,ml
210,0.9530702135412616,fde,ml
211,0.38781037126759677,fde,ml
212,1.139780690574424,fde,ml
213,0.6514252945542589,fde,ml
214,1.2874333224885575,fde,ml
215,1.4144525119976095,fde,ml
216,1.467368221294517,fde,ml
217,2.5033968223385576,fde,ml
218,1.5935190919342521,fde,ml
219,2.1075894308538228,fde,ml
220,1.1046626455220163,fde,ml
221,2.128953251890256,fde,ml
222,1.126941642394399,fde,ml
223,1.6611423889317658,fde,ml
224,1.1887223776289704,fde,ml
225,1.0015225146261342,fde,ml
226,0.16021502276680138,fde,ml
227,0.7106290455290486,fde,ml
228,0.36981314554310135,fde,ml
229,0.1960176954791378,fde,ml
230,0.8937339561820662,fde,ml
231,2.0163382842166815,fde,ml
232,0.2518054322852348,fde,ml
233,0.3613929638561771,fde,ml
234,1.1142287337366379,fde,ml
235,0.250317923077537,fde,ml
236,1.3404747220195725,fde,ml
237,1.181970325630167,fde,ml
238,0.27056797375207364,fde,ml
239,2.574192949934488,fde,ml
240,3.231827321323807,fde,ml
241,0.266872906979532,fde,ml
242,1.822626494412279,fde,ml
243,1.9406150217901703,fde,ml
244,0.1933067233019971,fde,ml
245,0.5746250743373188,fde,ml
246,0.4171333944772863,fde,ml
247,0.10662308338151566,fde,ml
248,0.5201125003019856,fde,ml
249,4.377435562581604,fde,ml
250,0.023923982923643613,fde,ml
251,0.3376692381092153,fde,ml
252,0.29607464173894527,fde,ml
253,0.06285270823322883,fde,ml
254,0.37439193052567143,fde,ml
255,1.0179613404221908,fde,ml
256,0.009655836849246029,fde,ml
257,0.439101741187307,fde,ml
258,0.17791137813047325,fde,ml
259,0.004056753026765395,fde,ml
260,0.4655710623392796,fde,ml
261,0.09666193552014903,fde,ml
262,0.013315708752746565,fde,ml
263,0.4116520015106755,fde,ml
264,0.020817133601699,fde,ml
265,0.01039519474819763,fde,ml
266,0.9679211366850726,fde,ml
267,0.018337403450722156,fde,ml
268,0.010697120910830391,fde,ml
269,0.6821899060307446,fde,ml
270,0.03985098523021109,fde,ml
271,0.22181635843017927,fde,ml
272,1.3190285508828887,fde,ml
273,0.03050877245345742,fde,ml
274,0.45368491934823274,fde,ml
275,1.9688176924940335,fde,ml
276,0.044768262764091016,fde,ml
277,0.9690291547871618,fde,ml
278,2.329437902803491,fde,ml
279,0.04296572773038899,fde,ml
280,1.7838670892190567,fde,ml
