,value,metric,type
0,109.0,road_viols,full
1,6.0,road_viols,full
2,10.0,road_viols,full
3,10.0,road_viols,full
4,37.0,road_viols,full
5,4.0,road_viols,full
6,3.0,road_viols,full
7,33.0,road_viols,full
8,3.0,road_viols,full
9,0.0,road_viols,full
10,18.0,road_viols,full
11,2.0,road_viols,full
12,5.0,road_viols,full
13,1.0,road_viols,full
14,1.0,road_viols,full
15,1.0,road_viols,full
16,4.0,road_viols,full
17,14.0,road_viols,full
18,2.0,road_viols,full
19,10.0,road_viols,full
20,0.0,road_viols,full
21,7.0,road_viols,full
22,22.0,road_viols,full
23,3.0,road_viols,full
24,6.0,road_viols,full
25,1.0,road_viols,full
26,15.0,road_viols,full
27,13.0,road_viols,full
28,4.0,road_viols,full
29,4.0,road_viols,full
30,5.0,road_viols,full
31,2.0,road_viols,full
32,6.0,road_viols,full
33,15.0,road_viols,full
34,3.0,road_viols,full
35,9.0,road_viols,full
36,2.0,road_viols,full
37,17.0,road_viols,full
38,1.0,road_viols,full
39,5.0,road_viols,full
40,35.0,road_viols,full
41,0.0,road_viols,full
42,1.0,road_viols,full
43,21.0,road_viols,full
44,1.0,road_viols,full
45,2.0,road_viols,full
46,5.0,road_viols,full
47,0.0,road_viols,full
48,1.0,road_viols,full
49,17.0,road_viols,full
50,8.0,road_viols,full
51,10.0,road_viols,full
52,11.0,road_viols,full
53,0.0,road_viols,full
54,8.0,road_viols,full
55,3.0,road_viols,full
56,5.0,road_viols,full
57,7.0,road_viols,full
58,2.0,road_viols,full
59,5.0,road_viols,full
60,6.0,road_viols,full
61,6.0,road_viols,full
62,5.0,road_viols,full
63,11.0,road_viols,full
64,1.0,road_viols,full
65,2.0,road_viols,full
66,7.0,road_viols,full
67,6.0,road_viols,full
68,1.0,road_viols,full
69,6.0,road_viols,full
70,2.0,road_viols,full
71,0.0,road_viols,full
72,4.0,road_viols,full
73,14.0,road_viols,full
74,2.0,road_viols,full
75,6.0,road_viols,full
76,2.0,road_viols,full
77,0.0,road_viols,full
78,1.0,road_viols,full
79,3.0,road_viols,full
80,1.0,road_viols,full
81,30.0,road_viols,full
82,7.0,road_viols,full
83,1.0,road_viols,full
84,0.0,road_viols,full
85,1.0,road_viols,full
86,2.0,road_viols,full
87,6.0,road_viols,full
88,6.0,road_viols,full
89,5.0,road_viols,full
90,2.0,road_viols,full
91,66.0,road_viols,full
92,0.0,road_viols,full
93,8.0,road_viols,full
94,1.0,road_viols,full
95,1.0,road_viols,full
96,19.0,road_viols,full
97,2.0,road_viols,full
98,2.0,road_viols,full
99,0.0,road_viols,full
100,4.0,road_viols,full
101,0.0,road_viols,full
102,1.0,road_viols,full
103,7.0,road_viols,full
104,7.0,road_viols,full
105,3.0,road_viols,full
106,1.0,road_viols,full
107,2.0,road_viols,full
108,1.0,road_viols,full
109,0.0,road_viols,full
110,7.0,road_viols,full
111,2.0,road_viols,full
112,5.0,road_viols,full
113,0.0,road_viols,full
114,0.0,road_viols,full
115,0.0,road_viols,full
116,7.0,road_viols,full
117,2.0,road_viols,full
118,4.0,road_viols,full
119,0.0,road_viols,full
120,1.0,road_viols,full
121,0.0,road_viols,full
122,9.0,road_viols,full
123,1.0,road_viols,full
124,5.0,road_viols,full
125,0.0,road_viols,full
126,3.0,road_viols,full
127,0.0,road_viols,full
128,12.0,road_viols,full
129,0.0,road_viols,full
130,12.0,road_viols,full
131,1.0,road_viols,full
132,9.0,road_viols,full
133,2.0,road_viols,full
134,6.0,road_viols,full
135,3.0,road_viols,full
136,15.0,road_viols,full
137,1.0,road_viols,full
138,0.0,road_viols,full
139,1.0,road_viols,full
140,8.0,road_viols,full
141,4.0,road_viols,full
142,4.0,road_viols,full
143,1.0,road_viols,full
144,0.0,road_viols,full
145,1.0,road_viols,full
146,5.0,road_viols,full
147,1.0,road_viols,full
148,2.0,road_viols,full
149,0.0,road_viols,full
150,1.0,road_viols,full
151,1.0,road_viols,full
152,5.0,road_viols,full
153,3.0,road_viols,full
154,1.0,road_viols,full
155,0.0,road_viols,full
156,0.0,road_viols,full
157,0.0,road_viols,full
158,7.0,road_viols,full
159,2.0,road_viols,full
160,1.0,road_viols,full
161,1.0,road_viols,full
162,0.0,road_viols,full
163,1.0,road_viols,full
164,6.0,road_viols,full
165,4.0,road_viols,full
166,0.0,road_viols,full
167,1.0,road_viols,full
168,0.0,road_viols,full
169,1.0,road_viols,full
170,8.0,road_viols,full
171,3.0,road_viols,full
172,2.0,road_viols,full
173,0.0,road_viols,full
174,1.0,road_viols,full
175,0.0,road_viols,full
176,8.0,road_viols,full
177,1.0,road_viols,full
178,8.0,road_viols,full
179,0.0,road_viols,full
180,0.0,road_viols,full
181,7.0,road_viols,full
182,1.0,road_viols,full
183,2.0,road_viols,full
184,1.0,road_viols,full
185,0.0,road_viols,full
186,0.0,road_viols,full
187,0.0,road_viols,full
188,1.0,road_viols,full
189,0.0,road_viols,full
190,0.0,road_viols,full
191,0.0,road_viols,full
192,0.0,road_viols,full
193,0.0,road_viols,full
194,0.0,road_viols,full
195,0.0,road_viols,full
196,0.0,road_viols,full
197,0.0,road_viols,full
198,0.0,road_viols,full
199,0.0,road_viols,full
200,2.0,road_viols,full
201,82.0,road_viols,full
202,0.0,road_viols,full
203,82.0,road_viols,full
204,3.0,road_viols,full
