,value,metric,type
0,-0.632170647602398,kde,full
1,-0.39675597975759325,kde,full
2,-0.5319401423684351,kde,full
3,1.4399972802011698,kde,full
4,-0.6661628863008872,kde,full
5,-0.42834091202370106,kde,full
6,-0.19419375414987966,kde,full
7,1.3287081947563726,kde,full
8,0.7274505191113257,kde,full
9,-0.10646477045905844,kde,full
10,-0.46877291543411703,kde,full
11,-0.5966325403660129,kde,full
12,-0.12725882990135223,kde,full
13,1.5243283953119344,kde,full
14,-0.04965682913355357,kde,full
15,1.0841690254335081,kde,full
16,-3.063397842261021,kde,full
17,-0.3191218960045775,kde,full
18,0.4774551162660554,kde,full
19,-0.09438524887600935,kde,full
20,0.5784871886852505,kde,full
21,-3.2797374135848534,kde,full
22,-0.0009777194080929918,kde,full
23,0.039937263513310395,kde,full
24,-0.16703995007225747,kde,full
25,-0.6436617134642592,kde,full
26,-3.2316870821587456,kde,full
27,-0.06293562928416695,kde,full
28,0.0864232210153979,kde,full
29,0.5662260070269417,kde,full
30,0.3079251978908309,kde,full
31,-1.0823025636984442,kde,full
32,-2.8613020070763806,kde,full
33,0.19492050587502513,kde,full
34,0.2521033211330872,kde,full
35,-0.279005849714019,kde,full
36,1.6883765344372952,kde,full
37,0.15083272441038936,kde,full
38,-0.3025817353193119,kde,full
39,-3.059327038022535,kde,full
40,0.8440444183239098,kde,full
41,1.9355370469792672,kde,full
42,0.8937405933022523,kde,full
43,-0.8602842714702787,kde,full
44,-1.1482873921617984,kde,full
45,-1.2972574307476388,kde,full
46,-1.4506072499547042,kde,full
47,0.6622913803276695,kde,full
48,1.8067194763725252,kde,full
49,-0.05993188336184063,kde,full
50,-1.3706162303509921,kde,full
51,-3.1449706895090324,kde,full
52,0.8124703641903155,kde,full
53,0.7830822748356441,kde,full
54,0.9607758986428732,kde,full
55,0.1999469605937369,kde,full
56,0.6395598963491304,kde,full
57,-4.050928939653835,kde,full
58,-0.36989839963833127,kde,full
59,-0.41195505653335746,kde,full
60,0.31879654823599385,kde,full
61,-0.0833741026154925,kde,full
62,2.2284588759649484,kde,full
63,-3.976465877574384,kde,full
64,-2.381455551822052,kde,full
65,-1.1965779953868787,kde,full
66,0.21057380972663156,kde,full
67,-0.5231690310301805,kde,full
68,0.2406109720737794,kde,full
69,-3.592871489969739,kde,full
70,-1.9582318417362825,kde,full
71,-0.1563372868435789,kde,full
72,-0.46050207969118084,kde,full
73,1.5418155297960419,kde,full
74,0.5748998405501106,kde,full
75,-3.9802763126448495,kde,full
76,-2.052467451414378,kde,full
77,0.08084101900589136,kde,full
78,-3.6581819486133296,kde,full
79,-0.851555599062961,kde,full
80,-1.2805352278301645,kde,full
81,0.6252383134183771,kde,full
82,-3.290994199347044,kde,full
83,-3.293644480171976,kde,full
84,4.311712156861024,kde,full
85,-4.1372680470193215,kde,full
86,-0.28483867496660403,kde,full
87,-1.365332596442154,kde,full
88,0.5236679177753696,kde,full
89,-2.773091519659375,kde,full
90,-3.4121664792919004,kde,full
91,2.216055725295125,kde,full
92,-4.3571341689922045,kde,full
93,-1.3216215985731838,kde,full
94,-1.8098558976658838,kde,full
95,3.759912410496143,kde,full
96,-1.8511476829721385,kde,full
97,-3.3123740309916494,kde,full
98,0.17911628466769158,kde,full
99,-4.632654899239907,kde,full
100,-1.1494348118697486,kde,full
101,-2.227371932544334,kde,full
102,1.6362120144141206,kde,full
103,-3.9540748216557793,kde,full
104,-4.15947079023085,kde,full
105,-0.1687299745277666,kde,full
106,-4.4993891249774585,kde,full
107,-0.7372964865282408,kde,full
108,-2.100165054048703,kde,full
109,1.748084669505527,kde,full
110,-4.227156468872345,kde,full
111,-3.4361128622271804,kde,full
112,-0.914404447739882,kde,full
113,-4.561442093390552,kde,full
114,-0.522484171725505,kde,full
115,0.35797976087343825,kde,full
116,-4.091755732044459,kde,full
117,-3.911522294862414,kde,full
118,-1.2071465319646362,kde,full
119,-4.715209311410008,kde,full
120,-0.6844762978672794,kde,full
121,-1.3820942188677496,kde,full
122,-4.339970894315241,kde,full
123,-3.6315406997844746,kde,full
124,-1.7431613034361009,kde,full
125,-4.675749292366264,kde,full
126,0.04525113451571017,kde,full
127,1.4682454706243102,kde,full
128,-4.365143276799564,kde,full
