,value,metric,type
0,-0.458939180780632,kde,full
1,-0.35544786842871023,kde,full
2,-0.4435138369692115,kde,full
3,1.7214886557477778,kde,full
4,-0.12192651698365231,kde,full
5,-0.5250712030087477,kde,full
6,-0.15804678479063816,kde,full
7,0.9902541294755869,kde,full
8,0.7014398404901715,kde,full
9,0.7201319748500801,kde,full
10,0.11398401811620473,kde,full
11,-0.2159462729288617,kde,full
12,-0.10990601860810839,kde,full
13,1.1693088310286597,kde,full
14,-0.6707072437630957,kde,full
15,1.758180320660053,kde,full
16,-3.5925529264561904,kde,full
17,-0.38574112064806515,kde,full
18,0.5301633490887,kde,full
19,0.04740053119800841,kde,full
20,0.3752530459776321,kde,full
21,-3.2874144288276783,kde,full
22,-0.6071588201908058,kde,full
23,-0.13398448302675853,kde,full
24,0.10829769332793832,kde,full
25,-0.35194355015038786,kde,full
26,-3.2383199987306632,kde,full
27,0.013071583602860579,kde,full
28,-0.8680689709098846,kde,full
29,1.1487591144479714,kde,full
30,0.2001210772255308,kde,full
31,-0.760178914014723,kde,full
32,-3.010941300943925,kde,full
33,0.42751008346134084,kde,full
34,0.09815154178608765,kde,full
35,-0.44614407403226275,kde,full
36,1.4374499220424646,kde,full
37,-0.16320249367340667,kde,full
38,-0.08996649145480318,kde,full
39,-2.823767945801203,kde,full
40,0.3990270227744349,kde,full
41,2.42978307490628,kde,full
42,0.7778435142135955,kde,full
43,-0.39128873497454103,kde,full
44,-1.0174733902656439,kde,full
45,-1.6328684188371854,kde,full
46,-1.6800954086685074,kde,full
47,0.36948637187676014,kde,full
48,1.6535746870988666,kde,full
49,-0.28968259624545145,kde,full
50,-0.8548812965136421,kde,full
51,-3.144596245157928,kde,full
52,1.7940193610851098,kde,full
53,0.034037611027933096,kde,full
54,1.2403558882252026,kde,full
55,-0.31490951184903365,kde,full
56,0.16006919838105105,kde,full
57,-4.173746197918219,kde,full
58,-0.46215902848368906,kde,full
59,-0.4311023602945912,kde,full
60,0.9855076552045834,kde,full
61,-0.23247336013171407,kde,full
62,1.487804755663865,kde,full
63,-4.068222787479001,kde,full
64,-2.461565537822995,kde,full
65,-0.9741336095411998,kde,full
66,0.8914650628918791,kde,full
67,0.22007536570585015,kde,full
68,0.14358929162937234,kde,full
69,-4.05011090521693,kde,full
70,-1.5734850604871864,kde,full
71,0.6041988638001017,kde,full
72,0.15603948266102474,kde,full
73,1.0715974108994648,kde,full
74,1.4128603928783943,kde,full
75,-3.7232318894125696,kde,full
76,-1.9793649635084907,kde,full
77,0.7923294697258104,kde,full
78,-4.479575620986798,kde,full
79,-0.16318947103882536,kde,full
80,-0.478931229868651,kde,full
81,1.2138284410734952,kde,full
82,-3.0146615207170155,kde,full
83,-3.3150417039535993,kde,full
84,5.310268005800328,kde,full
85,-4.896660109506147,kde,full
86,0.024639356077797103,kde,full
87,-0.9185977857901407,kde,full
88,0.779810781691884,kde,full
89,-2.5210301787852822,kde,full
