,value,metric,type
0,0.6557307352739956,ade,ml
1,0.9171199465386853,ade,ml
2,0.6827763065322636,ade,ml
3,0.8864511833116149,ade,ml
4,0.6036965347632351,ade,ml
5,0.7789733416749098,ade,ml
6,0.8682918012191676,ade,ml
7,0.4040826378646381,ade,ml
8,0.1917714246981984,ade,ml
9,0.397914993399656,ade,ml
10,0.5112160798516159,ade,ml
11,0.7429525852523301,ade,ml
12,0.7990320719656828,ade,ml
13,1.6893384253288648,ade,ml
14,0.22661228582741644,ade,ml
15,0.5653914313304119,ade,ml
16,0.1228319159030568,ade,ml
17,0.7281896441855897,ade,ml
18,1.3330039457528786,ade,ml
19,0.36377405466133733,ade,ml
20,0.6996252518471233,ade,ml
21,0.06744211046704866,ade,ml
22,1.1636101871441975,ade,ml
23,0.730343797904597,ade,ml
24,0.2924707249339386,ade,ml
25,0.8064235670176347,ade,ml
26,0.06399705669200141,ade,ml
27,0.4619602625227171,ade,ml
28,1.1709423126026115,ade,ml
29,0.4652092587049928,ade,ml
30,0.335186754199377,ade,ml
31,0.7017784526134067,ade,ml
32,0.09821758373083973,ade,ml
33,0.2063852237992223,ade,ml
34,1.8831446417189657,ade,ml
35,1.1082751105153097,ade,ml
36,1.0746737620810458,ade,ml
37,0.4909648972748027,ade,ml
38,1.360510006340255,ade,ml
39,0.12949562806256118,ade,ml
40,0.801541291943868,ade,ml
41,2.8639584952963943,ade,ml
42,1.7682019252126402,ade,ml
43,0.592309412291541,ade,ml
44,0.7709437432504785,ade,ml
45,0.19487942822877832,ade,ml
46,0.17701247327749922,ade,ml
47,1.5787059282772204,ade,ml
48,2.123841916162443,ade,ml
49,0.9958906639016137,ade,ml
50,0.1528824663129553,ade,ml
51,0.12003253143647186,ade,ml
52,0.1666503729237646,ade,ml
53,0.868741127439881,ade,ml
54,1.8944231016508117,ade,ml
55,1.2046050901768302,ade,ml
56,0.749051186684345,ade,ml
57,0.07833331763952232,ade,ml
58,0.23487813596195206,ade,ml
59,0.8845644986845634,ade,ml
60,0.9540407111365182,ade,ml
61,0.2867423379027882,ade,ml
62,1.3300879729454556,ade,ml
63,0.062315301524742815,ade,ml
64,0.1709772731985729,ade,ml
65,0.21759873597769508,ade,ml
66,0.37266995843656026,ade,ml
67,0.6698016186691417,ade,ml
68,0.5453183424932427,ade,ml
69,0.056873264241287386,ade,ml
70,0.1304779274901117,ade,ml
71,0.41139392410548076,ade,ml
72,0.4571003120880823,ade,ml
73,1.6868906841113984,ade,ml
74,0.5161405959156112,ade,ml
75,0.06260836790234152,ade,ml
76,0.20370288711794807,ade,ml
77,0.6606215848683752,ade,ml
78,0.034932372173451624,ade,ml
79,0.4959022920592286,ade,ml
80,0.48017955496589265,ade,ml
81,0.5192083024237485,ade,ml
82,0.09765821092295314,ade,ml
83,0.04929082092178478,ade,ml
84,1.0711175812405151,ade,ml
85,0.037812656326208165,ade,ml
86,1.0607570058841882,ade,ml
87,0.5307451602097295,ade,ml
88,0.5555685985751532,ade,ml
89,0.1020062682136017,ade,ml
90,0.04070045222391929,ade,ml
91,1.0591844437903637,ade,ml
92,0.026889342233998744,ade,ml
93,0.7809996115413375,ade,ml
94,0.1991665829467072,ade,ml
95,1.6132767704583977,ade,ml
96,0.1478488323797025,ade,ml
97,0.043911954583085416,ade,ml
98,1.1580964821368442,ade,ml
99,0.022857556354935846,ade,ml
100,0.18565880177834423,ade,ml
101,0.042196587774267685,ade,ml
102,0.6680496218531076,ade,ml
103,0.05721895135484295,ade,ml
104,0.023971855038756002,ade,ml
105,0.8337099330042687,ade,ml
106,0.023741727258620008,ade,ml
107,0.28628605391406253,ade,ml
108,0.2284234029551118,ade,ml
109,1.488027329833005,ade,ml
110,0.0679440107796513,ade,ml
111,0.0576577498013216,ade,ml
112,0.9716115350164127,ade,ml
113,0.026270790164220983,ade,ml
114,0.263333943936856,ade,ml
115,0.2465111448017033,ade,ml
116,0.07334102269136729,ade,ml
117,0.045948515479523416,ade,ml
118,0.6330510595510584,ade,ml
119,0.0281676646782125,ade,ml
120,0.5672459674918352,ade,ml
121,0.1616475490632797,ade,ml
122,0.05348288198330504,ade,ml
123,0.04838434144935477,ade,ml
124,0.4296483831909608,ade,ml
125,0.0252339772057785,ade,ml
126,0.8037977252543306,ade,ml
127,0.18341782588081143,ade,ml
128,0.055554873407395115,ade,ml
129,0.05636090894107012,ade,ml
130,0.64748228712359,ade,ml
131,0.024217990406147912,ade,ml
132,0.5008177377695029,ade,ml
133,0.49670450044687176,ade,ml
134,0.05709983037817925,ade,ml
135,0.057058920567960435,ade,ml
136,0.8022530937323534,ade,ml
137,0.024588595925112918,ade,ml
138,0.5211294954782782,ade,ml
139,0.19098481754921162,ade,ml
140,0.06615850092853129,ade,ml
141,0.08398835696323448,ade,ml
142,0.5044135726936769,ade,ml
143,0.024567410054200458,ade,ml
144,0.4792224124348305,ade,ml
145,0.09788230712611357,ade,ml
146,0.034665130223441414,ade,ml
147,0.02349786091932996,ade,ml
148,0.05555340512006657,ade,ml
149,0.028236862060999193,ade,ml
150,0.45514373978374006,ade,ml
151,0.09541632349915725,ade,ml
152,0.035747060022890374,ade,ml
153,0.036090965282070786,ade,ml
154,0.12596962923912933,ade,ml
155,0.02657844361411249,ade,ml
156,0.9594401907270309,ade,ml
157,0.06713915569794732,ade,ml
158,0.03757747056850762,ade,ml
159,0.042780821189122686,ade,ml
160,0.22001478577783082,ade,ml
161,0.02383278789310427,ade,ml
162,0.6566157440792484,ade,ml
163,0.08552562487821193,ade,ml
164,0.035102710684023326,ade,ml
165,0.1510607661664479,ade,ml
166,0.3813253599983406,ade,ml
167,0.020823537102648424,ade,ml
168,0.3023456371238678,ade,ml
169,0.08520735681897464,ade,ml
170,0.027111673119773777,ade,ml
171,0.2665936460900775,ade,ml
172,0.6714348348758166,ade,ml
173,0.01932744019908737,ade,ml
174,0.7555399105677884,ade,ml
175,0.06956900242695803,ade,ml
176,0.027062855894744556,ade,ml
177,0.5644936056709092,ade,ml
178,0.9538187885130064,ade,ml
179,0.019352328140964346,ade,ml
180,0.7571452611690092,ade,ml
181,0.031092643278263454,ade,ml
182,1.174849609268828,ade,ml
183,0.02018835277083429,ade,ml
184,0.020324077153872255,ade,ml
185,0.04847705115711053,ade,ml
186,0.017668435174363378,ade,ml
187,0.02989139169007637,ade,ml
188,0.01833958804801784,ade,ml
189,0.02452680170701453,ade,ml
190,0.017621860012724224,ade,ml
191,0.024169274269179333,ade,ml
192,0.01862484658297772,ade,ml
193,0.02592726534483235,ade,ml
194,0.018454960982710756,ade,ml
195,0.025900233429155924,ade,ml
196,0.018124087121464186,ade,ml
197,0.025585025140372683,ade,ml
198,0.017261370853422952,ade,ml
199,0.0254652361116923,ade,ml
200,0.7411512264026076,ade,ml
201,1.2173474078916369,ade,ml
202,0.5806044187048579,ade,ml
203,1.1822088398131347,ade,ml
204,0.5191144462849181,ade,ml
