,value,metric,type
0,13.0,road_viols,full
1,7.0,road_viols,full
2,1.0,road_viols,full
3,8.0,road_viols,full
4,0.0,road_viols,full
5,0.0,road_viols,full
6,0.0,road_viols,full
7,44.0,road_viols,full
8,55.0,road_viols,full
9,5.0,road_viols,full
10,3.0,road_viols,full
11,0.0,road_viols,full
12,0.0,road_viols,full
13,4.0,road_viols,full
14,5.0,road_viols,full
15,1.0,road_viols,full
16,33.0,road_viols,full
17,69.0,road_viols,full
18,3.0,road_viols,full
19,3.0,road_viols,full
20,0.0,road_viols,full
21,14.0,road_viols,full
22,261.0,road_viols,full
23,10.0,road_viols,full
24,0.0,road_viols,full
25,0.0,road_viols,full
26,16.0,road_viols,full
27,27.0,road_viols,full
28,254.0,road_viols,full
29,10.0,road_viols,full
30,1.0,road_viols,full
31,0.0,road_viols,full
32,10.0,road_viols,full
33,25.0,road_viols,full
34,7.0,road_viols,full
35,0.0,road_viols,full
36,6.0,road_viols,full
37,1.0,road_viols,full
38,0.0,road_viols,full
39,10.0,road_viols,full
40,48.0,road_viols,full
41,3.0,road_viols,full
42,1.0,road_viols,full
43,2.0,road_viols,full
44,0.0,road_viols,full
45,7.0,road_viols,full
46,11.0,road_viols,full
47,2.0,road_viols,full
48,0.0,road_viols,full
49,1.0,road_viols,full
50,0.0,road_viols,full
51,15.0,road_viols,full
52,10.0,road_viols,full
53,6.0,road_viols,full
54,0.0,road_viols,full
55,0.0,road_viols,full
56,0.0,road_viols,full
57,21.0,road_viols,full
58,8.0,road_viols,full
59,9.0,road_viols,full
60,0.0,road_viols,full
61,1.0,road_viols,full
62,4.0,road_viols,full
63,20.0,road_viols,full
64,7.0,road_viols,full
65,2.0,road_viols,full
66,2.0,road_viols,full
67,1.0,road_viols,full
68,1.0,road_viols,full
69,20.0,road_viols,full
70,11.0,road_viols,full
71,2.0,road_viols,full
72,1.0,road_viols,full
73,2.0,road_viols,full
74,0.0,road_viols,full
75,16.0,road_viols,full
76,6.0,road_viols,full
77,7.0,road_viols,full
78,6.0,road_viols,full
79,0.0,road_viols,full
80,2.0,road_viols,full
81,3.0,road_viols,full
82,22.0,road_viols,full
83,7.0,road_viols,full
84,0.0,road_viols,full
85,2.0,road_viols,full
86,5.0,road_viols,full
87,2.0,road_viols,full
88,0.0,road_viols,full
89,15.0,road_viols,full
90,5.0,road_viols,full
91,101.0,road_viols,full
92,3.0,road_viols,full
93,0.0,road_viols,full
94,5.0,road_viols,full
95,0.0,road_viols,full
96,19.0,road_viols,full
97,9.0,road_viols,full
98,11.0,road_viols,full
99,3.0,road_viols,full
100,1.0,road_viols,full
101,1.0,road_viols,full
102,0.0,road_viols,full
103,17.0,road_viols,full
104,9.0,road_viols,full
105,0.0,road_viols,full
106,1.0,road_viols,full
107,2.0,road_viols,full
108,0.0,road_viols,full
109,1.0,road_viols,full
110,12.0,road_viols,full
111,8.0,road_viols,full
112,4.0,road_viols,full
113,1.0,road_viols,full
114,4.0,road_viols,full
115,0.0,road_viols,full
116,19.0,road_viols,full
117,5.0,road_viols,full
118,1.0,road_viols,full
119,0.0,road_viols,full
120,1.0,road_viols,full
121,0.0,road_viols,full
122,12.0,road_viols,full
123,3.0,road_viols,full
124,0.0,road_viols,full
125,1.0,road_viols,full
126,7.0,road_viols,full
127,0.0,road_viols,full
128,7.0,road_viols,full
129,11.0,road_viols,full
130,17.0,road_viols,full
131,0.0,road_viols,full
132,9.0,road_viols,full
133,3.0,road_viols,full
134,17.0,road_viols,full
135,7.0,road_viols,full
136,15.0,road_viols,full
137,3.0,road_viols,full
138,0.0,road_viols,full
139,0.0,road_viols,full
140,11.0,road_viols,full
141,5.0,road_viols,full
142,2.0,road_viols,full
143,3.0,road_viols,full
144,0.0,road_viols,full
145,3.0,road_viols,full
146,6.0,road_viols,full
147,7.0,road_viols,full
148,0.0,road_viols,full
149,1.0,road_viols,full
150,0.0,road_viols,full
151,1.0,road_viols,full
152,14.0,road_viols,full
153,3.0,road_viols,full
154,1.0,road_viols,full
155,1.0,road_viols,full
156,0.0,road_viols,full
157,1.0,road_viols,full
158,16.0,road_viols,full
159,2.0,road_viols,full
160,2.0,road_viols,full
161,1.0,road_viols,full
162,0.0,road_viols,full
163,0.0,road_viols,full
164,21.0,road_viols,full
165,5.0,road_viols,full
166,11.0,road_viols,full
167,0.0,road_viols,full
168,1.0,road_viols,full
169,1.0,road_viols,full
170,16.0,road_viols,full
171,5.0,road_viols,full
172,9.0,road_viols,full
173,3.0,road_viols,full
174,1.0,road_viols,full
175,0.0,road_viols,full
176,9.0,road_viols,full
177,8.0,road_viols,full
178,108.0,road_viols,full
179,0.0,road_viols,full
180,0.0,road_viols,full
181,13.0,road_viols,full
182,12.0,road_viols,full
183,2.0,road_viols,full
184,2.0,road_viols,full
185,0.0,road_viols,full
186,3.0,road_viols,full
187,0.0,road_viols,full
188,1.0,road_viols,full
189,0.0,road_viols,full
190,1.0,road_viols,full
191,0.0,road_viols,full
192,2.0,road_viols,full
193,0.0,road_viols,full
194,5.0,road_viols,full
195,0.0,road_viols,full
196,3.0,road_viols,full
197,0.0,road_viols,full
198,2.0,road_viols,full
199,0.0,road_viols,full
200,9.0,road_viols,full
201,13.0,road_viols,full
202,0.0,road_viols,full
203,4.0,road_viols,full
204,32.0,road_viols,full
205,2.0,road_viols,full
206,21.0,road_viols,full
207,1.0,road_viols,full
208,3.0,road_viols,full
209,1.0,road_viols,full
210,0.0,road_viols,full
211,0.0,road_viols,full
212,1.0,road_viols,full
213,0.0,road_viols,full
214,2.0,road_viols,full
215,0.0,road_viols,full
216,4.0,road_viols,full
217,1.0,road_viols,full
218,4.0,road_viols,full
219,34.0,road_viols,full
220,0.0,road_viols,full
221,16.0,road_viols,full
222,0.0,road_viols,full
223,81.0,road_viols,full
224,0.0,road_viols,full
225,141.0,road_viols,full
226,4.0,road_viols,full
227,0.0,road_viols,full
228,155.0,road_viols,full
229,2.0,road_viols,full
230,10.0,road_viols,full
231,180.0,road_viols,full
232,5.0,road_viols,full
233,132.0,road_viols,full
234,149.0,road_viols,full
235,0.0,road_viols,full
236,10.0,road_viols,full
237,189.0,road_viols,full
238,2.0,road_viols,full
239,1.0,road_viols,full
240,77.0,road_viols,full
241,0.0,road_viols,full
242,0.0,road_viols,full
243,10.0,road_viols,full
244,0.0,road_viols,full
245,0.0,road_viols,full
246,12.0,road_viols,full
247,0.0,road_viols,full
248,0.0,road_viols,full
249,8.0,road_viols,full
250,0.0,road_viols,full
251,2.0,road_viols,full
252,0.0,road_viols,full
253,0.0,road_viols,full
254,8.0,road_viols,full
255,7.0,road_viols,full
256,0.0,road_viols,full
257,4.0,road_viols,full
258,13.0,road_viols,full
259,1.0,road_viols,full
260,7.0,road_viols,full
261,24.0,road_viols,full
262,1.0,road_viols,full
263,52.0,road_viols,full
264,20.0,road_viols,full
265,1.0,road_viols,full
266,16.0,road_viols,full
267,24.0,road_viols,full
268,2.0,road_viols,full
269,2.0,road_viols,full
270,17.0,road_viols,full
271,1.0,road_viols,full
272,1.0,road_viols,full
273,8.0,road_viols,full
274,1.0,road_viols,full
275,7.0,road_viols,full
276,21.0,road_viols,full
277,0.0,road_viols,full
278,35.0,road_viols,full
279,8.0,road_viols,full
280,0.0,road_viols,full
