,value,metric,type
0,0.2714930005892731,ade,ml
1,0.24605268941077485,ade,ml
2,0.5606507430242991,ade,ml
3,0.2700615595703885,ade,ml
4,0.2674783458533878,ade,ml
5,0.6970786366326163,ade,ml
6,0.34122209830957084,ade,ml
7,0.386903152653619,ade,ml
8,0.34442746552530396,ade,ml
9,0.22443193326271305,ade,ml
10,0.3535118113947106,ade,ml
11,0.4281066528712767,ade,ml
12,0.38835041267024145,ade,ml
13,0.05608484911334865,ade,ml
14,0.45498787368865484,ade,ml
15,0.2261254497831743,ade,ml
16,0.4872972167784786,ade,ml
17,0.09220965301530316,ade,ml
18,0.3591716869200287,ade,ml
19,0.22440848594491233,ade,ml
20,0.6681350532669049,ade,ml
21,0.06932741279044345,ade,ml
22,0.4176579600469075,ade,ml
23,0.20032121955767282,ade,ml
24,0.40888978007764476,ade,ml
25,0.6830425821338039,ade,ml
26,0.060190282873554345,ade,ml
27,0.3627414319607028,ade,ml
28,0.49386962044087523,ade,ml
29,0.38490763142832557,ade,ml
30,0.6654220147248614,ade,ml
31,0.7047571557509474,ade,ml
32,0.16046275574866872,ade,ml
33,0.34682082358414396,ade,ml
34,0.7614579195731904,ade,ml
35,1.2446531071402034,ade,ml
36,1.3557190444284766,ade,ml
37,0.242283697095699,ade,ml
38,0.14274313034209685,ade,ml
39,0.7090163756259132,ade,ml
40,1.6297410506505,ade,ml
41,1.6993743390329703,ade,ml
42,0.20192171335780032,ade,ml
43,0.3136474469156061,ade,ml
44,1.485131207409719,ade,ml
45,1.613847997286128,ade,ml
46,1.131112293210893,ade,ml
47,0.021701399577051052,ade,ml
48,0.2903920439935312,ade,ml
49,0.3517649725135666,ade,ml
50,1.1923745251670177,ade,ml
51,0.6195895886118714,ade,ml
52,0.11296147793543215,ade,ml
53,0.1690171609138018,ade,ml
54,0.43078584980102574,ade,ml
55,0.4306074756992271,ade,ml
56,0.956570767903056,ade,ml
57,0.05538943226017884,ade,ml
58,0.1615897793171728,ade,ml
59,0.44647297773708955,ade,ml
60,0.753735702963151,ade,ml
61,0.7876377454679927,ade,ml
62,0.06191806837927819,ade,ml
63,0.27346166219087753,ade,ml
64,0.9288646888728307,ade,ml
65,0.029632730766596848,ade,ml
66,0.6916917989934861,ade,ml
67,0.7749569317319004,ade,ml
68,0.0973542393603416,ade,ml
69,0.05325110357119461,ade,ml
70,1.084864287517484,ade,ml
71,0.032935255031944784,ade,ml
72,0.4814331567383521,ade,ml
73,0.8029127858905093,ade,ml
74,0.025827639035425228,ade,ml
75,0.09003210695560315,ade,ml
76,1.403395547852706,ade,ml
77,0.016556402345461085,ade,ml
78,0.6126534185034284,ade,ml
79,0.7344363646020008,ade,ml
80,0.22413304328439335,ade,ml
81,0.037054104700189945,ade,ml
82,0.9393877125248222,ade,ml
83,0.014969885534989178,ade,ml
84,0.7132512237559903,ade,ml
85,0.6855357453255291,ade,ml
86,0.01651366351821308,ade,ml
87,0.034799198342506464,ade,ml
88,0.7009156829400007,ade,ml
89,0.013621688635846558,ade,ml
90,0.2390108660802305,ade,ml
91,0.5879491719176781,ade,ml
92,0.02000237221493749,ade,ml
93,0.02884602441241547,ade,ml
94,0.6336078417534932,ade,ml
95,0.019453895034063876,ade,ml
96,0.2700739977693534,ade,ml
97,0.026068278351002783,ade,ml
98,0.06527671647345286,ade,ml
99,0.5638159413731326,ade,ml
100,0.014532214182781965,ade,ml
101,0.2835828632890966,ade,ml
102,0.025427858473929577,ade,ml
103,0.0808408250524899,ade,ml
104,0.39741091718358373,ade,ml
105,0.00891170276548736,ade,ml
106,0.19301823507625546,ade,ml
107,0.04932806420350808,ade,ml
108,0.04630737140519594,ade,ml
109,0.24549550889122804,ade,ml
110,0.01273396534203098,ade,ml
111,0.655833778572548,ade,ml
112,0.06274259763766131,ade,ml
113,0.08750603414494623,ade,ml
114,0.3600263206164147,ade,ml
115,0.018814208298561896,ade,ml
116,0.0990003355150156,ade,ml
117,0.05183052927824199,ade,ml
118,0.039571813678624064,ade,ml
119,0.25934317546404767,ade,ml
120,0.015380317178061759,ade,ml
121,0.25297449292970153,ade,ml
122,0.03682380895467318,ade,ml
123,0.02263659301449231,ade,ml
124,0.11989340065382219,ade,ml
125,0.007801971935841752,ade,ml
126,0.14930266966124447,ade,ml
127,0.0498757699934937,ade,ml
128,0.03559221052122577,ade,ml
129,0.14321103627463697,ade,ml
130,0.007850638276091932,ade,ml
131,0.5073694756212627,ade,ml
132,0.05100130107025916,ade,ml
133,0.04046511976425716,ade,ml
134,0.1843966254464973,ade,ml
135,0.020870354704086158,ade,ml
136,0.21785165477678362,ade,ml
137,0.041031882958374365,ade,ml
138,0.12881847427713236,ade,ml
139,0.34241333976284083,ade,ml
140,0.018326859863685933,ade,ml
141,0.16909945959136696,ade,ml
142,0.03887701702780578,ade,ml
143,0.25519133571094993,ade,ml
144,0.6350187533477294,ade,ml
145,0.008353544113675386,ade,ml
146,0.11422378510295972,ade,ml
147,0.035302017135981384,ade,ml
148,0.5595088583607003,ade,ml
149,0.9922746208739,ade,ml
150,0.016710696796821852,ade,ml
151,0.053423073078988755,ade,ml
152,1.1975562555639465,ade,ml
153,0.009023787100198338,ade,ml
154,0.039800275503163854,ade,ml
155,0.015512287941126602,ade,ml
156,0.04676244819184979,ade,ml
157,0.018331056547408995,ade,ml
158,0.03916588116136954,ade,ml
159,0.024883562624060353,ade,ml
160,0.018024712412669678,ade,ml
161,0.008268922247804551,ade,ml
162,0.027137327164966665,ade,ml
163,0.02935150175431907,ade,ml
164,0.04047506044807698,ade,ml
165,0.032238565390322986,ade,ml
166,0.01888824384632914,ade,ml
167,0.020956979171350493,ade,ml
168,0.024896509107346008,ade,ml
169,0.03746143517192665,ade,ml
170,0.3905926786268698,ade,ml
171,1.0538110971549794,ade,ml
172,0.47202817588357293,ade,ml
173,0.17548784765663802,ade,ml
174,0.27437652551296865,ade,ml
175,0.5443087378754633,ade,ml
176,0.7162924691745104,ade,ml
177,1.0156454387180507,ade,ml
178,0.8455102638579447,ade,ml
179,0.7719748858395202,ade,ml
180,0.8182490305864324,ade,ml
181,0.8137430573799062,ade,ml
182,0.29056074740755866,ade,ml
183,0.007034186526506353,ade,ml
184,0.2716788979268259,ade,ml
185,0.012372100388639994,ade,ml
186,0.7484255056571731,ade,ml
187,0.014715317829700508,ade,ml
188,0.3858090638998833,ade,ml
189,0.021343733639554326,ade,ml
190,0.2645362406759871,ade,ml
191,0.010261446566287535,ade,ml
192,0.2655261028495755,ade,ml
193,0.012437081850001997,ade,ml
194,0.5356813312089158,ade,ml
195,0.018227832232356647,ade,ml
196,0.8648798831465085,ade,ml
197,0.027492946300226168,ade,ml
198,0.33245301519131604,ade,ml
199,0.058795074699910244,ade,ml
200,0.10531954233287176,ade,ml
201,0.1115416698157617,ade,ml
202,0.08386159555416921,ade,ml
203,0.0817148702740913,ade,ml
204,0.032441853767009386,ade,ml
205,0.025160554149971676,ade,ml
206,0.05065302323281584,ade,ml
207,0.029247698566180674,ade,ml
208,0.051254061480643764,ade,ml
209,0.03213032951033205,ade,ml
210,0.027227634881790797,ade,ml
211,0.032271070042367324,ade,ml
212,0.05384012055209462,ade,ml
213,0.07055133801432355,ade,ml
214,0.07160886429108444,ade,ml
215,0.11574014561362829,ade,ml
216,0.05538149090764017,ade,ml
217,0.2707165197765408,ade,ml
218,0.09329871260712903,ade,ml
219,0.5371362840207464,ade,ml
