,value,metric,type
0,0.6241924175171156,fde,ml
1,0.5612459694579663,fde,ml
2,1.4314973134257016,fde,ml
3,0.6131103144077229,fde,ml
4,0.6608141052131289,fde,ml
5,1.7518299101218875,fde,ml
6,0.5340724040037633,fde,ml
7,1.1418216130193923,fde,ml
8,0.7409365952239638,fde,ml
9,0.6856531660961411,fde,ml
10,0.6737098436171528,fde,ml
11,1.1107727582743703,fde,ml
12,1.309864822019548,fde,ml
13,0.11282422048594924,fde,ml
14,1.1487006085566116,fde,ml
15,0.4992711343222502,fde,ml
16,1.4094750938825662,fde,ml
17,0.23389294481915981,fde,ml
18,0.8289944567157607,fde,ml
19,0.5810762506859544,fde,ml
20,1.725691409292332,fde,ml
21,0.18181546829371825,fde,ml
22,0.6444678255239207,fde,ml
23,0.5974687898424109,fde,ml
24,1.275722843371649,fde,ml
25,2.1682988415333293,fde,ml
26,0.07486711386907366,fde,ml
27,0.5146206733738553,fde,ml
28,1.0463654579291914,fde,ml
29,1.0247363039058797,fde,ml
30,2.480902098492598,fde,ml
31,2.363036426517334,fde,ml
32,0.3500342040876632,fde,ml
33,0.5833520021467316,fde,ml
34,1.111955890060731,fde,ml
35,3.680928392181157,fde,ml
36,3.846377591264698,fde,ml
37,0.4399785354781418,fde,ml
38,0.2744639076062386,fde,ml
39,1.772744889388603,fde,ml
40,4.470821723070698,fde,ml
41,4.698523016792986,fde,ml
42,0.3473047336220353,fde,ml
43,0.5803042977018373,fde,ml
44,3.675894024627558,fde,ml
45,4.138891332087825,fde,ml
46,2.84807998522083,fde,ml
47,0.04193998675997323,fde,ml
48,0.5264893669787555,fde,ml
49,0.8139217854043665,fde,ml
50,3.2680911333468847,fde,ml
51,1.793003035281974,fde,ml
52,0.29451913243064776,fde,ml
53,0.3369812537286042,fde,ml
54,1.3062242862161162,fde,ml
55,1.326405081357089,fde,ml
56,2.086395860323796,fde,ml
57,0.1355779196127546,fde,ml
58,0.28867884980317093,fde,ml
59,1.4248136576280346,fde,ml
60,1.4915374068155407,fde,ml
61,2.041584191826899,fde,ml
62,0.16842251811911021,fde,ml
63,0.4156354877480097,fde,ml
64,2.9544947962370127,fde,ml
65,0.05813777434310308,fde,ml
66,1.2024549512610498,fde,ml
67,2.3689762515181005,fde,ml
68,0.18640356654941356,fde,ml
69,0.04395106572188898,fde,ml
70,2.53553635562709,fde,ml
71,0.07733830260949436,fde,ml
72,1.240047592109983,fde,ml
73,2.0751482991366377,fde,ml
74,0.02486933037783561,fde,ml
75,0.1605054076712002,fde,ml
76,2.546122087825877,fde,ml
77,0.017359422476364583,fde,ml
78,1.5679534148390621,fde,ml
79,1.4529454219907911,fde,ml
80,0.3631649181316216,fde,ml
81,0.07670409804648866,fde,ml
82,2.8863174396618514,fde,ml
83,0.013525606494393994,fde,ml
84,1.7355182700209935,fde,ml
85,1.5810005789634223,fde,ml
86,0.024687155349350946,fde,ml
87,0.06791256089021687,fde,ml
88,1.9309390021886528,fde,ml
89,0.0241432231403891,fde,ml
90,0.5857029964487936,fde,ml
91,1.3620331997039266,fde,ml
92,0.06031670815695466,fde,ml
93,0.06800837093259661,fde,ml
94,1.648714923200249,fde,ml
95,0.04064682692919707,fde,ml
96,0.44054148740867216,fde,ml
97,0.04473342758838117,fde,ml
98,0.16180058949261678,fde,ml
99,1.7645501828089467,fde,ml
100,0.028149744978037548,fde,ml
101,0.37199149710826634,fde,ml
102,0.01202012116137598,fde,ml
103,0.16484923111317065,fde,ml
104,1.3203085537933936,fde,ml
105,0.0210846262224091,fde,ml
106,0.11757952286459347,fde,ml
107,0.10459331946262526,fde,ml
108,0.07396310494841639,fde,ml
109,0.7124357894634157,fde,ml
110,0.031866573443791624,fde,ml
111,1.7311604164800198,fde,ml
112,0.11830245956381308,fde,ml
113,0.11826551839965346,fde,ml
114,0.958224462019525,fde,ml
115,0.04121810812393095,fde,ml
116,0.24861381668247853,fde,ml
117,0.06364193402369824,fde,ml
118,0.0490961152357583,fde,ml
119,0.7577545160662471,fde,ml
120,0.03810536967963555,fde,ml
121,0.3374241509692737,fde,ml
122,0.0635178648724757,fde,ml
123,0.04645538399928936,fde,ml
124,0.21251827128157547,fde,ml
125,0.010892705238590887,fde,ml
126,0.2728058794963893,fde,ml
127,0.0995904561070728,fde,ml
128,0.0845119817777532,fde,ml
129,0.43929888633854325,fde,ml
130,0.010942160690331715,fde,ml
131,1.281038101990555,fde,ml
132,0.08179739308526644,fde,ml
133,0.10019491765689122,fde,ml
134,0.6515725574139962,fde,ml
135,0.05036943396784764,fde,ml
136,0.41517700970711063,fde,ml
137,0.052286344273419334,fde,ml
138,0.6650401811583689,fde,ml
139,0.9470634557898768,fde,ml
140,0.02882861402848982,fde,ml
141,0.40527108254408784,fde,ml
142,0.06635269266734001,fde,ml
