,value,metric,type
0,-1.7029149247428617,kde,full
1,-0.5726067574382967,kde,full
2,0.16883717624640027,kde,full
3,-1.1179015458879145,kde,full
4,-0.8362996625696337,kde,full
5,0.5033164195817984,kde,full
6,0.03342843987825472,kde,full
7,4.21691339094261,kde,full
8,-0.6604508898160388,kde,full
9,-0.8567720730346473,kde,full
10,3.3870358110677814,kde,full
11,-0.913238279511408,kde,full
12,0.5498912125486799,kde,full
13,-3.357103158245633,kde,full
14,-0.48835436479821226,kde,full
15,-0.4509094659048019,kde,full
16,1.2787267358217864,kde,full
17,-3.478714579882861,kde,full
18,-0.23015073209268505,kde,full
19,-0.64752416402752,kde,full
20,-0.06529597114505253,kde,full
21,-3.6298575510569693,kde,full
22,0.4634496683443765,kde,full
23,-0.668385765543274,kde,full
24,-0.2753517882853572,kde,full
25,0.10790155822320335,kde,full
26,-2.5682991923858283,kde,full
27,0.21838422063022495,kde,full
28,-1.4181585243645087,kde,full
29,-0.8934065099411059,kde,full
30,-0.1682018120491583,kde,full
31,-0.4581988281952202,kde,full
32,-2.6337772528797867,kde,full
33,0.7952785495498663,kde,full
34,-0.4303099333705352,kde,full
35,0.20642725459305555,kde,full
36,2.358083201681813,kde,full
37,-1.3017900464762193,kde,full
38,-1.1533634063188098,kde,full
39,-0.06478541740084451,kde,full
40,0.8503591218531551,kde,full
41,0.7384430719289315,kde,full
42,-2.3188755005177533,kde,full
43,-0.5963106051268651,kde,full
44,2.9058206032065206,kde,full
45,1.4923818191689295,kde,full
46,0.19365400208340833,kde,full
47,-3.803761741367345,kde,full
48,-0.2172542341647467,kde,full
49,-1.586078931641146,kde,full
50,0.9062359125455348,kde,full
51,-0.09296380230835533,kde,full
52,-3.242547396862141,kde,full
53,-2.80740500088307,kde,full
54,-1.0441733532679136,kde,full
55,-0.49983026478610715,kde,full
56,2.9178779314197514,kde,full
57,-3.4726161172752956,kde,full
58,-2.2388079058610764,kde,full
59,0.5504999755887694,kde,full
60,2.819066012611885,kde,full
61,1.6497095071082126,kde,full
62,-4.018635069490945,kde,full
63,-1.2559939744922646,kde,full
64,0.5465202592670783,kde,full
65,-4.439887610963029,kde,full
66,-0.5566843539813879,kde,full
67,4.17515048200841,kde,full
68,-3.3300963649853617,kde,full
69,-3.2576471807919916,kde,full
70,8.579221593217499,kde,full
71,-4.952237201733553,kde,full
72,-1.3469821331513718,kde,full
73,2.0836713157448994,kde,full
74,-2.8468398754884725,kde,full
75,-3.4641779549685663,kde,full
76,4.113459340180019,kde,full
77,-4.979066475139945,kde,full
78,-1.3718526764245011,kde,full
79,0.31265173619611675,kde,full
80,-1.2438465263297642,kde,full
81,-3.7797063365165497,kde,full
82,0.8939815738982817,kde,full
83,-5.105238319075391,kde,full
84,-0.4708259602376802,kde,full
85,2.572814218053238,kde,full
86,-4.119013110713294,kde,full
87,-4.5554765654032865,kde,full
88,0.7688140213241865,kde,full
89,-5.141915713036948,kde,full
90,-1.8774707573968388,kde,full
91,0.8047130669242749,kde,full
92,-4.278444219184297,kde,full
93,-4.048626541620854,kde,full
94,1.542816898767764,kde,full
95,-5.125684956863195,kde,full
96,-0.4198922018999135,kde,full
97,-4.489971575233334,kde,full
98,-3.8899904269358663,kde,full
99,-0.5550044230909453,kde,full
100,-5.117448050181326,kde,full
101,-0.5137454615363614,kde,full
102,-4.607374565116047,kde,full
103,-3.565778737706316,kde,full
104,-1.712411071964049,kde,full
105,-4.988969734362727,kde,full
106,0.039916735498476796,kde,full
107,-4.753190077099853,kde,full
108,-3.372155113603858,kde,full
109,-2.3313622674290215,kde,full
110,-4.955949421502689,kde,full
111,-0.8045938320471264,kde,full
112,-4.446981210931222,kde,full
113,-3.673735609851335,kde,full
114,-1.9101054946278946,kde,full
115,-5.130009724954639,kde,full
116,-1.8138676051391112,kde,full
117,-4.307012284022898,kde,full
118,-4.051557615502578,kde,full
119,-2.0423230974590982,kde,full
120,-5.054361159509269,kde,full
121,-0.25089637485021693,kde,full
122,-4.868706006024509,kde,full
123,-4.205771667490347,kde,full
124,-1.6595949059098616,kde,full
125,-4.930398297064692,kde,full
126,-2.957142670565645,kde,full
127,-4.6646658633690885,kde,full
128,-3.731801911728131,kde,full
129,-2.715912850763923,kde,full
130,-4.900270440466926,kde,full
131,-2.7059088584811475,kde,full
132,-4.521691472699156,kde,full
133,-4.360570363903667,kde,full
134,-2.1756225169551313,kde,full
135,-5.052126901263407,kde,full
136,-2.6638904176123717,kde,full
137,-4.561600060981364,kde,full
138,-3.3285402399541586,kde,full
139,0.46946886823209755,kde,full
140,-5.169921427899917,kde,full
141,-2.81207224180644,kde,full
142,-4.961476646145046,kde,full
143,-2.1524817238113156,kde,full
144,7.142145921380525,kde,full
145,-4.8667976373418185,kde,full
146,-3.5107967280412375,kde,full
147,-4.82989988247337,kde,full
148,2.4602243540973308,kde,full
149,1.1285382485542723,kde,full
150,-5.106651476176608,kde,full
151,-4.597426740438825,kde,full
152,10.526311375881692,kde,full
153,-5.085014454701692,kde,full
154,-5.4778069470706345,kde,full
155,-5.325807617812796,kde,full
156,-5.373529551541796,kde,full
157,-5.509833420701139,kde,full
158,-4.702065433130761,kde,full
159,-4.6283707414076645,kde,full
160,-5.212962513804393,kde,full
161,-4.909834704986163,kde,full
162,-5.454013831885021,kde,full
163,-4.676320804786834,kde,full
164,-6.174549919018007,kde,full
165,-5.231627338642079,kde,full
166,-5.859563155719071,kde,full
167,-4.9213964669381545,kde,full
168,-5.656305520631527,kde,full
169,-4.930475214507745,kde,full
170,-0.5254476153727379,kde,full
171,2.4763794588275143,kde,full
172,-0.3107399912497528,kde,full
173,-0.16719323641930706,kde,full
174,-0.5250657066514339,kde,full
175,-0.18010186579442122,kde,full
176,0.31597461864869686,kde,full
177,1.1677222322804357,kde,full
178,1.1597653974001314,kde,full
179,1.3336163374854264,kde,full
180,1.793279544869442,kde,full
181,0.5544297165880068,kde,full
182,-0.6206399808233132,kde,full
183,-4.403226420273253,kde,full
184,-0.8782524701752986,kde,full
185,-4.307892205874764,kde,full
186,-0.4639047885151818,kde,full
187,-3.99128837174199,kde,full
188,-0.9067347010980553,kde,full
189,-3.6042635026450203,kde,full
190,-1.1598140188589512,kde,full
191,-3.770696741212762,kde,full
192,-1.2347774331692354,kde,full
193,-4.176909480729452,kde,full
194,-0.3108476150484992,kde,full
195,-4.341580205206439,kde,full
196,0.4442130073213051,kde,full
197,-4.302993205838446,kde,full
198,-2.363631133235194,kde,full
199,-4.100410271886113,kde,full
200,-1.8294543764416216,kde,full
201,-3.8450926062510415,kde,full
202,-1.439384894558159,kde,full
203,-4.140845230021016,kde,full
204,-3.415872398831233,kde,full
205,-4.354571948051022,kde,full
206,-2.5255450097092265,kde,full
207,-5.476524045331019,kde,full
208,-4.880258876840546,kde,full
209,-5.6767164793301035,kde,full
210,-4.566903081761387,kde,full
211,-5.609917832887534,kde,full
212,-4.470680111824954,kde,full
213,-4.9281088278954615,kde,full
214,-4.114817915289557,kde,full
215,-3.206868635092835,kde,full
216,-4.09681324822166,kde,full
217,-1.7812427242451947,kde,full
218,-4.179052121432838,kde,full
219,0.3472970282127139,kde,full
