,value,metric,type
0,0.6021406837156421,ade,ml
1,1.4460014404644503,ade,ml
2,0.5791370580474647,ade,ml
3,0.9912822746133947,ade,ml
4,0.8323469508177747,ade,ml
5,1.1329454303326136,ade,ml
6,0.7853158844955498,ade,ml
7,0.8947317736606831,ade,ml
8,0.5751625672670749,ade,ml
9,0.2854877087788883,ade,ml
10,0.8774849972793956,ade,ml
11,1.1507007290434352,ade,ml
12,0.6830749408251625,ade,ml
13,1.004860996233614,ade,ml
14,0.6018708544934777,ade,ml
15,0.5117799387614277,ade,ml
16,0.12677496852413397,ade,ml
17,0.7059877777421658,ade,ml
18,1.581983694077839,ade,ml
19,0.6142382157654439,ade,ml
20,0.7958543893008914,ade,ml
21,0.05995157530716261,ade,ml
22,0.4436120067909271,ade,ml
23,0.581133373312301,ade,ml
24,1.0006545504492566,ade,ml
25,1.0118088331197588,ade,ml
26,0.06404900708202475,ade,ml
27,0.2536158185182841,ade,ml
28,0.4680947678723329,ade,ml
29,0.715162480690101,ade,ml
30,0.8894856017119687,ade,ml
31,0.8955986703904569,ade,ml
32,0.04281189158706631,ade,ml
33,0.21546033485069613,ade,ml
34,1.6324314736021925,ade,ml
35,0.9605187624108643,ade,ml
36,1.056879098337662,ade,ml
37,0.8164901168651498,ade,ml
38,1.1771598644702541,ade,ml
39,0.09698610823293623,ade,ml
40,0.1267145252525773,ade,ml
41,2.6695617383470105,ade,ml
42,1.7627793332560742,ade,ml
43,0.5814985934826239,ade,ml
44,0.5103511996759382,ade,ml
45,0.06650236043254008,ade,ml
46,0.1841720824913943,ade,ml
47,0.8197633571491969,ade,ml
48,2.317639333816772,ade,ml
49,0.8068262706128092,ade,ml
50,0.4971022288047591,ade,ml
51,0.06395321318411439,ade,ml
52,0.06409663956616869,ade,ml
53,0.5602702897561581,ade,ml
54,2.5463275557239338,ade,ml
55,0.5956634141228667,ade,ml
56,0.9283625590936505,ade,ml
57,0.05465319877759425,ade,ml
58,0.1419713125936615,ade,ml
59,0.8982479492772658,ade,ml
60,0.5368011416767423,ade,ml
61,0.44350456392956555,ade,ml
62,1.5926146291238847,ade,ml
63,0.04289217994843674,ade,ml
64,0.1677897735387465,ade,ml
65,0.38002770869893626,ade,ml
66,0.3604967683953156,ade,ml
67,0.5221932607644836,ade,ml
68,0.7086724026098188,ade,ml
69,0.038695672026509316,ade,ml
70,0.11576133923898964,ade,ml
71,0.40137759035925274,ade,ml
72,0.3999582284769802,ade,ml
73,1.1178231087258426,ade,ml
74,1.3153846533459819,ade,ml
75,0.07076912954554093,ade,ml
76,0.0840129921840297,ade,ml
77,0.6951151925672326,ade,ml
78,0.03709598331290962,ade,ml
79,0.21962190965075004,ade,ml
80,0.19388227486521767,ade,ml
81,1.013087758365643,ade,ml
82,0.11636915268715843,ade,ml
83,0.06441408045225992,ade,ml
84,1.037960549591405,ade,ml
85,0.03519836707977537,ade,ml
86,0.6656410767629631,ade,ml
87,0.26109095653992115,ade,ml
88,1.0628365300893252,ade,ml
89,0.03914778474326481,ade,ml
90,0.08448289301465023,ade,ml
91,0.32606774397734756,ade,ml
92,0.034482601450057535,ade,ml
93,0.6993152386475119,ade,ml
94,0.11937825484746563,ade,ml
95,2.198577363965985,ade,ml
96,0.051315112349451276,ade,ml
97,0.05636228829926049,ade,ml
98,1.7581519410590658,ade,ml
99,0.03402943976351844,ade,ml
100,0.5928490523537812,ade,ml
101,0.10000685442395622,ade,ml
102,0.703355301014101,ade,ml
103,0.038195638165183295,ade,ml
104,0.05496015469746926,ade,ml
105,1.532883292665666,ade,ml
106,0.034663208503723786,ade,ml
107,0.6718870803573056,ade,ml
108,0.1752482499729111,ade,ml
109,0.8672974495625506,ade,ml
110,0.026202774202902016,ade,ml
111,0.0494573146692013,ade,ml
112,1.0950102371244264,ade,ml
113,0.03397628906592614,ade,ml
114,0.4028191624021029,ade,ml
115,0.21775015363694203,ade,ml
116,0.05851220538716037,ade,ml
117,0.0559980510258297,ade,ml
118,0.14689468219773644,ade,ml
119,0.03409121969303341,ade,ml
120,0.6454553714320534,ade,ml
121,0.22276677331577352,ade,ml
122,0.055094166987202875,ade,ml
123,0.05435186070296197,ade,ml
124,0.13738077419714145,ade,ml
125,0.03407427509514605,ade,ml
126,0.8455203968882435,ade,ml
127,0.15043468216148853,ade,ml
128,0.01833397621014976,ade,ml
129,0.05040728551855905,ade,ml
130,0.21395426677739704,ade,ml
131,0.03503722206650561,ade,ml
132,0.7510391024262454,ade,ml
133,0.2553948370205431,ade,ml
134,0.026870981643284608,ade,ml
135,0.04004626994573111,ade,ml
136,0.3673354349459756,ade,ml
137,0.034042976887330136,ade,ml
138,0.9617776982426586,ade,ml
139,0.0926058375606495,ade,ml
140,0.023081634328834838,ade,ml
141,0.04414564180423733,ade,ml
142,0.32968253139363646,ade,ml
143,0.034682034980938276,ade,ml
144,0.30641705807208935,ade,ml
145,0.0588059014525967,ade,ml
146,0.023869881307225654,ade,ml
147,0.04375102325487464,ade,ml
148,0.24952357319855012,ade,ml
149,0.034671848130467565,ade,ml
150,0.3583120755879425,ade,ml
151,0.07512975795761712,ade,ml
152,0.031245686563606562,ade,ml
153,0.03836405424212472,ade,ml
154,0.24867820108978247,ade,ml
155,0.03486444668729621,ade,ml
156,0.9155230064931777,ade,ml
157,0.1186344173299179,ade,ml
158,0.027846535293392826,ade,ml
159,0.0573545537683783,ade,ml
160,0.3670725622465227,ade,ml
161,0.03521053506152997,ade,ml
162,0.34285875543813527,ade,ml
163,0.05630221500083021,ade,ml
164,0.027409392532619526,ade,ml
165,0.13311320222114134,ade,ml
166,0.4938313545268638,ade,ml
167,0.03550283104107859,ade,ml
168,0.2736799098544738,ade,ml
169,0.035411469861577616,ade,ml
170,0.026888020265267248,ade,ml
171,0.24124482684401452,ade,ml
172,0.8094591977920528,ade,ml
173,0.03560927938031029,ade,ml
174,0.692900624976824,ade,ml
175,0.03094728597038557,ade,ml
176,0.018665675018794552,ade,ml
177,0.5431254382748726,ade,ml
178,0.40605537012799076,ade,ml
179,0.03558946035631383,ade,ml
180,0.7948439217260249,ade,ml
181,0.01802117510234049,ade,ml
182,1.1456105728385677,ade,ml
183,0.03557184990999213,ade,ml
184,0.03615822645188526,ade,ml
185,0.03608157279729765,ade,ml
186,0.03491155178012376,ade,ml
187,0.0344853000905924,ade,ml
188,0.03414693520772619,ade,ml
189,0.033890542963752844,ade,ml
190,0.03466718258330876,ade,ml
191,0.03404895664355489,ade,ml
192,0.03475158418819762,ade,ml
193,0.037341643084671715,ade,ml
194,0.03442569968071538,ade,ml
195,0.036764852990865106,ade,ml
196,0.034481383767351374,ade,ml
197,0.03737764477915096,ade,ml
198,0.034519178997328225,ade,ml
199,0.037047965911566845,ade,ml
200,1.0179932461329584,ade,ml
201,1.521410362390035,ade,ml
202,1.3920761592102864,ade,ml
203,1.480236567551052,ade,ml
204,1.2489447563777776,ade,ml
205,0.9977247509589997,ade,ml
206,1.2411879163293265,ade,ml
207,0.7340100183569049,ade,ml
208,1.160512913310949,ade,ml
209,0.7620642615813029,ade,ml
210,0.9287778123991801,ade,ml
211,0.6025717721251974,ade,ml
