,value,metric,type
0,1.2453460382406658,fde,ml
1,3.8858895023594435,fde,ml
2,1.459798448612462,fde,ml
3,2.147598221416617,fde,ml
4,1.7447869991369145,fde,ml
5,3.3154357211286456,fde,ml
6,2.0903159763607393,fde,ml
7,1.3574619920935256,fde,ml
8,1.5179462723636448,fde,ml
9,0.9800278749596926,fde,ml
10,1.808615438131906,fde,ml
11,3.2560899145880366,fde,ml
12,1.7690059434356233,fde,ml
13,2.196126358116956,fde,ml
14,1.5931270522073175,fde,ml
15,1.5059448143772665,fde,ml
16,0.2125068201468969,fde,ml
17,1.2213098130136073,fde,ml
18,3.734253859446983,fde,ml
19,1.272826896597443,fde,ml
20,1.9353600975837701,fde,ml
21,0.16961313985511214,fde,ml
22,0.2715291246565028,fde,ml
23,1.224075096326012,fde,ml
24,2.006629426961472,fde,ml
25,2.15609866818307,fde,ml
26,0.03130964969446526,fde,ml
27,0.35528265874037473,fde,ml
28,1.0545266036686534,fde,ml
29,1.9333860638171643,fde,ml
30,1.5742769997538648,fde,ml
31,2.4651785150860466,fde,ml
32,0.1165679893351039,fde,ml
33,0.3595711933000156,fde,ml
34,4.827115007339543,fde,ml
35,3.4770218725639057,fde,ml
36,2.850159124249823,fde,ml
37,1.126503933697316,fde,ml
38,3.049945327466276,fde,ml
39,0.19116343391730242,fde,ml
40,0.20134137754853754,fde,ml
41,6.52923114793332,fde,ml
42,5.5145742508444515,fde,ml
43,1.1775302287335252,fde,ml
44,1.0444575006552195,fde,ml
45,0.12582494907971628,fde,ml
46,0.25128476002502315,fde,ml
47,1.9820395252299436,fde,ml
48,6.565829005108201,fde,ml
49,2.05913044371685,fde,ml
50,1.5903400247654194,fde,ml
51,0.11746808909579395,fde,ml
52,0.11723567710514776,fde,ml
53,0.8207836413313351,fde,ml
54,6.766719608478956,fde,ml
55,1.5687677079074283,fde,ml
56,3.0364291638353347,fde,ml
57,0.10143178782679939,fde,ml
58,0.3933460063022664,fde,ml
59,2.136082774773579,fde,ml
60,1.1147229882952936,fde,ml
61,0.21027560696827735,fde,ml
62,4.45871049124775,fde,ml
63,0.015885489560401714,fde,ml
64,0.289840741674786,fde,ml
65,1.0166347103988156,fde,ml
66,0.5229752768537735,fde,ml
67,1.565098479287109,fde,ml
68,1.964713317301493,fde,ml
69,0.09491878032679717,fde,ml
70,0.20728382159094574,fde,ml
71,1.390478629256164,fde,ml
72,0.5463936059733263,fde,ml
73,2.883346501851488,fde,ml
74,4.0459454539393365,fde,ml
75,0.20355965702490547,fde,ml
76,0.14335220202665036,fde,ml
77,1.995301114413546,fde,ml
78,0.09414281394448484,fde,ml
79,0.533670841965826,fde,ml
80,0.28261462746441623,fde,ml
81,3.28053095157685,fde,ml
82,0.2567032700551037,fde,ml
83,0.1272576440234434,fde,ml
84,2.527456371976709,fde,ml
85,0.09074342982624609,fde,ml
86,1.7593674846052043,fde,ml
87,0.5190611827220382,fde,ml
88,2.8002812646100774,fde,ml
89,0.04130927550315268,fde,ml
90,0.14481185266748325,fde,ml
91,0.7053959951189668,fde,ml
92,0.08842778618513386,fde,ml
93,1.962976638968615,fde,ml
94,0.03469361450720289,fde,ml
95,4.85507171948513,fde,ml
96,0.06425357742128156,fde,ml
97,0.12482469263166027,fde,ml
98,4.518662862617094,fde,ml
99,0.08673794958393168,fde,ml
100,1.8092715708261824,fde,ml
101,0.2501090496321178,fde,ml
102,1.150803428552882,fde,ml
103,0.031208490098843595,fde,ml
104,0.11273903243771871,fde,ml
105,4.01661854333556,fde,ml
106,0.08724492076859497,fde,ml
107,1.9320156740685266,fde,ml
108,0.5871311581419446,fde,ml
109,1.2492444607825108,fde,ml
110,0.045424471818244,fde,ml
111,0.08806518724081147,fde,ml
112,2.7668155145591293,fde,ml
113,0.08592851344772037,fde,ml
114,1.2643872989139837,fde,ml
115,0.4128934373557019,fde,ml
116,0.10903489955657925,fde,ml
117,0.07826535636638823,fde,ml
118,0.03097318349468215,fde,ml
119,0.08561134904028833,fde,ml
120,1.9729041209991738,fde,ml
121,0.29095220149123907,fde,ml
122,0.1458913923508803,fde,ml
123,0.09950774669606101,fde,ml
124,0.02945213159057554,fde,ml
125,0.08609790164032478,fde,ml
126,2.447530275161541,fde,ml
127,0.11877150944557267,fde,ml
128,0.043345524672549214,fde,ml
129,0.08910092649635538,fde,ml
130,0.6042605751738765,fde,ml
131,0.087986964823467,fde,ml
132,2.072844260068158,fde,ml
133,0.48807003831099877,fde,ml
134,0.06083112811545071,fde,ml
135,0.07163542355371098,fde,ml
136,0.8690871146135002,fde,ml
137,0.08562876840169478,fde,ml
138,2.7856166089594914,fde,ml
139,0.019854215193237296,fde,ml
140,0.06543246000629784,fde,ml
141,0.09456503154852176,fde,ml
142,0.6202440111817898,fde,ml
143,0.08734290590350637,fde,ml
144,0.967396889558669,fde,ml
145,0.08308413878996247,fde,ml
146,0.0659827983209908,fde,ml
147,0.08260347980538199,fde,ml
148,0.5469230397808355,fde,ml
149,0.08725843798578284,fde,ml
150,1.0123399394637123,fde,ml
151,0.06360724480708334,fde,ml
152,0.07979607501157032,fde,ml
153,0.09888638262271597,fde,ml
154,0.7688078032732674,fde,ml
155,0.08757018113508148,fde,ml
156,2.167566783285536,fde,ml
157,0.32242181602805553,fde,ml
158,0.06845544794226252,fde,ml
159,0.15169055578770968,fde,ml
160,1.0874782523707058,fde,ml
161,0.0884438435480042,fde,ml
162,0.8813187403474677,fde,ml
163,0.09207569631737846,fde,ml
164,0.06675552537929212,fde,ml
165,0.5718492015605143,fde,ml
166,1.3521031469765958,fde,ml
167,0.08923621246345806,fde,ml
168,0.6590547670986477,fde,ml
169,0.05670740624864473,fde,ml
170,0.0638805057890109,fde,ml
171,0.7046634936733998,fde,ml
172,2.350731782725117,fde,ml
173,0.08956592209569335,fde,ml
174,2.141441676558101,fde,ml
175,0.03435140203759508,fde,ml
176,0.04834691518889321,fde,ml
177,1.808656667896176,fde,ml
178,1.3340466306342407,fde,ml
179,0.08979448737442197,fde,ml
180,1.482764505588617,fde,ml
181,0.04500809451656282,fde,ml
182,3.5269196116821324,fde,ml
183,0.0898370195236313,fde,ml
184,0.09097623905374708,fde,ml
185,0.09264066975319979,fde,ml
186,0.08822584006338029,fde,ml
187,0.08941648195700766,fde,ml
188,0.0864364335995343,fde,ml
189,0.08729182011871635,fde,ml
190,0.0873717425501416,fde,ml
191,0.08699082106119654,fde,ml
192,0.08754411704976094,fde,ml
193,0.09408301431637181,fde,ml
194,0.08671192531159762,fde,ml
195,0.09320625186265798,fde,ml
196,0.08682707157103187,fde,ml
197,0.09392992877755442,fde,ml
198,0.08700753280093512,fde,ml
199,0.09364099018958368,fde,ml
200,2.2677065339185667,fde,ml
201,3.4786979156196534,fde,ml
202,3.2590596220284564,fde,ml
203,3.3383824346106983,fde,ml
204,3.0127856433449836,fde,ml
205,2.569057292390905,fde,ml
206,3.032274891488577,fde,ml
207,1.4686975935280688,fde,ml
208,2.783778853295587,fde,ml
209,1.4101131207926212,fde,ml
210,2.096871739008422,fde,ml
211,0.9331132898763591,fde,ml
212,0.7523476612199735,fde,ml
213,0.5305589853655766,fde,ml
214,0.39026611281172335,fde,ml
215,2.354972435211192,fde,ml
216,0.7366876696846082,fde,ml
217,3.4162600236877463,fde,ml
218,0.5939484423712327,fde,ml
219,3.132799593697667,fde,ml
220,0.8112834671888625,fde,ml
221,2.97140407142178,fde,ml
222,0.3534456039086287,fde,ml
223,3.4444858661155338,fde,ml
224,0.33610237536726456,fde,ml
225,2.2707449724911424,fde,ml
226,0.37652246931043803,fde,ml
227,0.6408005370926191,fde,ml
228,1.7238597373834164,fde,ml
229,0.3837100387848064,fde,ml
230,0.8641201613170092,fde,ml
231,2.9290692979436606,fde,ml
232,0.38336920830996085,fde,ml
233,1.0391663138696134,fde,ml
234,1.344858377659961,fde,ml
235,0.3839068737533089,fde,ml
236,1.9265725051018385,fde,ml
237,1.5169341350749435,fde,ml
238,0.3844188027132517,fde,ml
239,2.8743334456040195,fde,ml
240,3.805618892642116,fde,ml
241,0.38475761735324004,fde,ml
242,2.755715644597711,fde,ml
243,2.0181942912702167,fde,ml
244,0.3066905372091179,fde,ml
245,1.1064686999916102,fde,ml
246,1.7616875331402218,fde,ml
247,0.22846211089210658,fde,ml
248,1.7309868947070681,fde,ml
249,4.104598968355742,fde,ml
250,0.16030173080727583,fde,ml
251,2.2518203181739755,fde,ml
252,0.5045367563039554,fde,ml
253,0.11187409714766963,fde,ml
254,2.301058062704311,fde,ml
255,0.14376828487056448,fde,ml
256,0.1142622825002721,fde,ml
257,1.959925226598914,fde,ml
258,0.09914472404306018,fde,ml
259,0.10153982190999129,fde,ml
260,1.7228589898784072,fde,ml
261,0.13985472641759228,fde,ml
262,0.09237716814051412,fde,ml
263,0.8735795137508798,fde,ml
264,0.14524392888622553,fde,ml
265,0.09398150385958305,fde,ml
266,0.392386936996303,fde,ml
267,0.1594292956117733,fde,ml
268,0.09399109131791603,fde,ml
269,0.21204589226036968,fde,ml
270,0.15218276462634825,fde,ml
271,0.1534810905197867,fde,ml
272,0.4397649010240865,fde,ml
273,0.1417398464446524,fde,ml
274,0.3810717983978895,fde,ml
275,0.8955243082492119,fde,ml
276,0.14933479299320918,fde,ml
277,0.8949746138751673,fde,ml
278,1.1408780006281452,fde,ml
279,0.15113688216771637,fde,ml
280,1.7174270528999631,fde,ml
