,value,metric,type
0,21.0,road_viols,full
1,1.0,road_viols,full
2,8.0,road_viols,full
3,1.0,road_viols,full
4,46.0,road_viols,full
5,4.0,road_viols,full
6,0.0,road_viols,full
7,0.0,road_viols,full
8,0.0,road_viols,full
9,0.0,road_viols,full
10,9.0,road_viols,full
11,1.0,road_viols,full
12,7.0,road_viols,full
13,0.0,road_viols,full
14,0.0,road_viols,full
15,1.0,road_viols,full
16,10.0,road_viols,full
17,1.0,road_viols,full
18,2.0,road_viols,full
19,3.0,road_viols,full
20,1.0,road_viols,full
21,11.0,road_viols,full
22,13.0,road_viols,full
23,2.0,road_viols,full
24,2.0,road_viols,full
25,0.0,road_viols,full
26,11.0,road_viols,full
27,2.0,road_viols,full
28,5.0,road_viols,full
29,0.0,road_viols,full
30,8.0,road_viols,full
31,2.0,road_viols,full
32,7.0,road_viols,full
33,8.0,road_viols,full
34,1.0,road_viols,full
35,1.0,road_viols,full
36,0.0,road_viols,full
37,39.0,road_viols,full
38,1.0,road_viols,full
39,4.0,road_viols,full
40,6.0,road_viols,full
41,1.0,road_viols,full
42,0.0,road_viols,full
43,39.0,road_viols,full
44,0.0,road_viols,full
45,10.0,road_viols,full
46,3.0,road_viols,full
47,1.0,road_viols,full
48,0.0,road_viols,full
49,62.0,road_viols,full
50,1.0,road_viols,full
51,11.0,road_viols,full
52,2.0,road_viols,full
53,0.0,road_viols,full
54,0.0,road_viols,full
55,41.0,road_viols,full
56,1.0,road_viols,full
57,9.0,road_viols,full
58,3.0,road_viols,full
59,0.0,road_viols,full
60,0.0,road_viols,full
61,11.0,road_viols,full
62,0.0,road_viols,full
63,8.0,road_viols,full
64,9.0,road_viols,full
65,6.0,road_viols,full
66,0.0,road_viols,full
67,17.0,road_viols,full
68,2.0,road_viols,full
69,6.0,road_viols,full
70,7.0,road_viols,full
71,2.0,road_viols,full
72,0.0,road_viols,full
73,5.0,road_viols,full
74,4.0,road_viols,full
75,5.0,road_viols,full
76,7.0,road_viols,full
77,1.0,road_viols,full
78,1.0,road_viols,full
79,1.0,road_viols,full
80,10.0,road_viols,full
81,29.0,road_viols,full
82,5.0,road_viols,full
83,2.0,road_viols,full
84,0.0,road_viols,full
85,3.0,road_viols,full
86,0.0,road_viols,full
87,5.0,road_viols,full
88,8.0,road_viols,full
89,5.0,road_viols,full
90,6.0,road_viols,full
91,1.0,road_viols,full
92,1.0,road_viols,full
93,0.0,road_viols,full
94,1.0,road_viols,full
95,3.0,road_viols,full
96,7.0,road_viols,full
97,6.0,road_viols,full
98,2.0,road_viols,full
99,2.0,road_viols,full
100,1.0,road_viols,full
101,1.0,road_viols,full
102,2.0,road_viols,full
103,9.0,road_viols,full
104,2.0,road_viols,full
105,2.0,road_viols,full
106,1.0,road_viols,full
107,0.0,road_viols,full
108,3.0,road_viols,full
109,0.0,road_viols,full
