,value,metric,type
0,3.275392977427905,fde,ml
1,2.78405172515988,fde,ml
2,3.1286623633059643,fde,ml
3,5.972825228111505,fde,ml
4,4.709866140721959,fde,ml
5,2.9198781613220284,fde,ml
6,4.271816457437164,fde,ml
7,9.396991982441929,fde,ml
8,8.77200497639056,fde,ml
9,3.3504531886118256,fde,ml
10,5.169878199695581,fde,ml
11,0.08734950316140666,fde,ml
12,5.053265852736463,fde,ml
13,9.238146315691772,fde,ml
14,3.302525444072416,fde,ml
15,1.8204767322864204,fde,ml
16,0.6949567341211145,fde,ml
17,3.8005894756827665,fde,ml
18,0.3026312035850173,fde,ml
19,7.613088297775968,fde,ml
20,1.8535813543205062,fde,ml
21,0.4548404805350214,fde,ml
22,1.9868253435012333,fde,ml
23,5.757601658664613,fde,ml
24,7.070414248788268,fde,ml
25,2.3780629992715685,fde,ml
26,0.2539116828506314,fde,ml
27,4.528283189365033,fde,ml
28,3.2805616108960063,fde,ml
29,6.024792790517256,fde,ml
30,6.01625439383515,fde,ml
31,3.067863955552437,fde,ml
32,0.4842098403648425,fde,ml
33,4.209423982616181,fde,ml
34,5.743229198259262,fde,ml
35,3.628263704957385,fde,ml
36,14.955291786226304,fde,ml
37,6.4317905043709045,fde,ml
38,4.175704361856353,fde,ml
39,1.214839487989494,fde,ml
40,4.097481870988152,fde,ml
41,11.5059859097859,fde,ml
42,6.409895576714035,fde,ml
43,6.2221611664314915,fde,ml
44,4.714351161794833,fde,ml
45,1.3075486927728246,fde,ml
46,5.086677639729286,fde,ml
47,13.56511484679607,fde,ml
48,10.756265740880549,fde,ml
49,3.4214088689974886,fde,ml
50,3.2113058400980186,fde,ml
51,1.2381777388261856,fde,ml
52,3.646275938662777,fde,ml
53,10.657346878777288,fde,ml
54,11.85497941840609,fde,ml
55,4.019470022995788,fde,ml
56,2.156066198618452,fde,ml
57,1.0318020958286052,fde,ml
58,4.463575461730421,fde,ml
59,5.879736712885282,fde,ml
60,14.812814775537403,fde,ml
61,4.375974458842869,fde,ml
62,2.3373999936562107,fde,ml
63,0.9044837197456312,fde,ml
64,3.9165475523346593,fde,ml
65,5.651022195640269,fde,ml
66,10.023351345484778,fde,ml
67,2.789423503594535,fde,ml
68,2.7877350569772843,fde,ml
69,0.8121927374074565,fde,ml
70,3.587646614227048,fde,ml
71,4.4994377853085314,fde,ml
72,7.396624519144846,fde,ml
73,2.7686225153832535,fde,ml
74,4.782830272149481,fde,ml
75,0.7949340319292262,fde,ml
76,3.419847090902327,fde,ml
77,5.745048575045663,fde,ml
78,0.17730056774347136,fde,ml
79,6.7100695466298035,fde,ml
80,7.190001469261406,fde,ml
81,6.211696214261247,fde,ml
82,0.736730002709184,fde,ml
83,3.107552652871963,fde,ml
84,6.030878383698896,fde,ml
85,0.12472279826890961,fde,ml
86,3.2428324063542475,fde,ml
87,4.940909620840768,fde,ml
88,5.154014334036058,fde,ml
89,0.6963293782940605,fde,ml
90,3.4018663127458213,fde,ml
91,4.5957612245716515,fde,ml
92,0.11026617063933129,fde,ml
93,1.693627821463552,fde,ml
94,3.5579758818137264,fde,ml
95,5.759458672947386,fde,ml
96,1.2493552505686165,fde,ml
97,3.1752417845831347,fde,ml
