,value,metric,type
0,3.3210692171769933,kde,full
1,1.758034786128598,kde,full
2,1.8385949647092272,kde,full
3,3.6766837740942053,kde,full
4,6.224314883829463,kde,full
5,1.3750999502439347,kde,full
6,2.276043137070137,kde,full
7,4.288243896420014,kde,full
8,5.400390628165743,kde,full
9,2.4850664234060504,kde,full
10,3.5946107923077246,kde,full
11,0.6082374536370692,kde,full
12,2.8906622911498245,kde,full
13,3.2038793634595994,kde,full
14,3.6090216984878984,kde,full
15,0.40821051444708556,kde,full
16,-2.1874521718741873,kde,full
17,4.574643272203623,kde,full
18,0.5303107177960277,kde,full
19,3.28187046014295,kde,full
20,-0.49148189850552193,kde,full
21,-2.4534252385174318,kde,full
22,4.188198565476122,kde,full
23,2.5066607768961946,kde,full
24,3.3739988754363592,kde,full
25,-0.5499038986720344,kde,full
26,-2.44092065651933,kde,full
27,7.280466854618431,kde,full
28,2.640621945846656,kde,full
29,3.020583754262141,kde,full
30,4.536250983991941,kde,full
31,0.36634662963337905,kde,full
32,-2.3334445607429175,kde,full
33,8.399008833813735,kde,full
34,2.2540692911278803,kde,full
35,1.7338897879162793,kde,full
36,4.248808647917401,kde,full
37,5.839702769937776,kde,full
38,1.4946147927902804,kde,full
39,-2.178381667735248,kde,full
40,8.318623152185781,kde,full
41,8.925514038850148,kde,full
42,2.264133019458672,kde,full
43,5.959767931587431,kde,full
44,2.032370808098144,kde,full
45,-1.578780600685304,kde,full
46,2.6150917485142275,kde,full
47,16.026887408127358,kde,full
48,2.8996246099540994,kde,full
49,2.829523617474282,kde,full
50,0.8978807129428764,kde,full
51,-1.6772889394625543,kde,full
52,4.464171684659621,kde,full
53,8.230926445951926,kde,full
54,3.288937909239121,kde,full
55,2.3407189377103452,kde,full
56,1.3837112466207295,kde,full
57,-2.042335895975798,kde,full
58,10.097772466206298,kde,full
59,1.204623389798176,kde,full
60,4.020396240948212,kde,full
61,1.7450345138649581,kde,full
62,2.4784195061001864,kde,full
63,-2.0415444170088404,kde,full
64,-1.0066946803745165,kde,full
65,1.5444312213910871,kde,full
66,3.165242822714428,kde,full
67,1.7091702721465054,kde,full
68,1.2838991991184223,kde,full
69,-2.109403331810238,kde,full
70,-1.119626758045054,kde,full
71,5.558746536371242,kde,full
72,2.890317953473084,kde,full
73,1.5854543873266569,kde,full
74,2.5514428023937605,kde,full
75,-2.227240068041247,kde,full
76,-1.565009407070076,kde,full
77,9.186762125861133,kde,full
78,-4.819696912579226,kde,full
79,2.9211697411220734,kde,full
80,1.4684817876285063,kde,full
81,3.6828577845825157,kde,full
82,-2.0831749689683114,kde,full
83,-2.106389817833299,kde,full
84,14.05467349456437,kde,full
85,-5.716032337740868,kde,full
86,1.3094703999660882,kde,full
87,1.1631236553502189,kde,full
88,4.218306202510258,kde,full
89,-2.242952956522901,kde,full
90,-1.8346501257807182,kde,full
91,18.776048188798736,kde,full
92,-5.65501328378646,kde,full
93,0.5417346520775255,kde,full
94,-0.014114297613465748,kde,full
95,4.9686744395106155,kde,full
96,0.4543466825055605,kde,full
97,-1.0623128454254136,kde,full
98,6.684532636623866,kde,full
99,-5.5270801706346715,kde,full
100,0.30946293065569674,kde,full
101,0.1479951943740111,kde,full
102,9.934238565665893,kde,full
103,-2.0770739082598686,kde,full
104,-1.9531130736385784,kde,full
105,2.240931277394336,kde,full
106,-5.37270511074477,kde,full
107,0.6644676032560098,kde,full
108,-0.3679629399212388,kde,full
109,15.95181439088301,kde,full
110,-1.8926839768450965,kde,full
111,-0.48084639007561625,kde,full
112,1.1232745356774028,kde,full
113,-5.012428866126556,kde,full
114,1.0618992454611016,kde,full
115,4.63352644336427,kde,full
116,-2.2758234010939775,kde,full
117,-1.0568764516874318,kde,full
118,0.16077792605343522,kde,full
119,-5.1066230133373995,kde,full
120,1.023467190482486,kde,full
121,1.2403860203832853,kde,full
122,-1.923541416492861,kde,full
123,-0.41137607195598425,kde,full
124,-0.280074725959173,kde,full
125,-4.929808867878493,kde,full
126,1.2170265818016328,kde,full
127,5.441800292164622,kde,full
128,-2.195359041408687,kde,full
129,1.9516420643975945,kde,full
130,0.02605032383650907,kde,full
131,-4.590673482028902,kde,full
132,1.9253231605651777,kde,full
133,4.348380589740941,kde,full
134,-2.139279080132962,kde,full
135,-1.6856453458021847,kde,full
136,-0.05911511456602031,kde,full
137,-4.747525811676837,kde,full
138,2.520962264108616,kde,full
139,-0.5085041399059781,kde,full
140,-1.8781794320114749,kde,full
141,-1.6999817185774198,kde,full
142,0.5242897207227089,kde,full
143,-5.016967664114037,kde,full
144,3.0156245184960024,kde,full
145,0.18854391188520186,kde,full
146,-1.8989094492814496,kde,full
147,-2.3553797439318345,kde,full
148,1.2026163253873223,kde,full
149,-6.068748108130723,kde,full
150,3.0748217940437392,kde,full
151,-0.09997752716082897,kde,full
152,-2.2775754665281367,kde,full
153,-2.6005443027159036,kde,full
154,-0.3944925537915662,kde,full
155,-5.905145330488677,kde,full
156,2.0010569417183226,kde,full
157,0.5914641293686614,kde,full
158,-2.095253303795538,kde,full
159,-2.608835809585816,kde,full
160,0.43361862119799766,kde,full
161,-5.402461206696836,kde,full
162,1.3941599787436676,kde,full
163,-1.982354648385511,kde,full
164,-1.846867238834153,kde,full
165,-1.9511540328596761,kde,full
166,1.4311104588489196,kde,full
167,-4.741210884375489,kde,full
168,2.062437998565992,kde,full
169,-1.0928179307686199,kde,full
170,-1.8653956901144024,kde,full
171,-1.2487362874194865,kde,full
172,3.5592178222764588,kde,full
173,-5.252248333501301,kde,full
174,1.4683677199176721,kde,full
175,-0.9344734403521912,kde,full
176,-1.6836467125091137,kde,full
177,2.911117947062772,kde,full
178,11.301733865667158,kde,full
179,-4.63541875318359,kde,full
180,1.6016143957704756,kde,full
181,-1.8230271208061848,kde,full
182,6.8856160955542,kde,full
183,-4.948347759469955,kde,full
184,-4.8879686024612115,kde,full
185,-2.7781263945122254,kde,full
186,-4.9392635800271885,kde,full
187,-2.7640446627829895,kde,full
188,-4.78237806386608,kde,full
189,-2.727627313923435,kde,full
190,-5.076621435112104,kde,full
191,-2.794481049086558,kde,full
192,-4.914909407745181,kde,full
193,-2.8575766052962854,kde,full
194,-5.070325768769422,kde,full
195,-2.963121487499252,kde,full
196,-4.991568436676732,kde,full
197,-2.805243303440505,kde,full
198,-4.938432107871835,kde,full
199,-3.184887716933131,kde,full
200,5.500458734429675,kde,full
201,2.5691147964518093,kde,full
202,2.030839737137482,kde,full
203,3.465907416317547,kde,full
204,1.160531014910593,kde,full
205,4.168885707345554,kde,full
206,1.7952976953642827,kde,full
207,5.2214794304905014,kde,full
208,1.6343660755906493,kde,full
209,17.49003692586091,kde,full
210,1.2127678413279974,kde,full
211,9.452799549761776,kde,full
212,0.840658997827678,kde,full
213,9.064567714541823,kde,full
214,2.030921125785219,kde,full
215,15.755762088829917,kde,full
216,8.99881547173688,kde,full
217,6.335992806496588,kde,full
218,7.365433881600051,kde,full
219,4.065230214626894,kde,full
220,7.219600577002656,kde,full
221,2.215596213662951,kde,full
222,4.51240236657414,kde,full
223,1.157616172552888,kde,full
224,3.8333854852146234,kde,full
225,2.522931960108709,kde,full
226,-1.7538284474796055,kde,full
227,2.510674716185226,kde,full
228,1.4131315061342296,kde,full
229,-1.6703885650135244,kde,full
230,2.9080271942770612,kde,full
231,1.3039026789981256,kde,full
232,-1.7171872465690408,kde,full
233,3.055766645560294,kde,full
234,1.787364280392655,kde,full
235,-1.6270109640941586,kde,full
236,3.775309716071311,kde,full
237,1.3533442790261339,kde,full
238,-1.6868544846606572,kde,full
239,5.406930200935445,kde,full
240,1.7762769260932338,kde,full
241,-1.5228401776678324,kde,full
242,2.972654160888608,kde,full
243,4.351311625595861,kde,full
244,-1.5463193894732588,kde,full
245,1.3938862168483408,kde,full
246,4.124363452058185,kde,full
247,-1.5928013382175334,kde,full
248,0.7736562404107123,kde,full
249,0.47181519314873915,kde,full
250,-1.552034060057984,kde,full
251,0.55835179307719,kde,full
252,1.2387745162960102,kde,full
253,-1.6246406399196571,kde,full
254,0.6347278955910955,kde,full
255,2.289764124406481,kde,full
256,-1.301998078996793,kde,full
257,0.28552100959363846,kde,full
258,-1.3468050682529347,kde,full
259,-1.3259258250568442,kde,full
260,0.23205332744218887,kde,full
261,0.4778704536127273,kde,full
262,-1.5964043922425033,kde,full
263,0.6487771244868241,kde,full
264,-4.230860627238355,kde,full
265,-1.5964084811813382,kde,full
266,0.6306069556701526,kde,full
267,-4.092670971083711,kde,full
268,-1.5400678529076655,kde,full
269,0.9915719647555625,kde,full
270,-4.056529411294077,kde,full
271,-1.4941547460546898,kde,full
272,0.8768341584258156,kde,full
273,-3.9955499621013115,kde,full
274,-1.60048952415379,kde,full
275,0.6642247845887537,kde,full
276,-3.970374551193095,kde,full
277,-1.094118738893675,kde,full
278,3.000105397484503,kde,full
279,-4.414749316228402,kde,full
280,0.37473284744731405,kde,full
