,value,metric,type
0,28.0,road_viols,full
1,50.0,road_viols,full
2,43.0,road_viols,full
3,157.0,road_viols,full
4,26.0,road_viols,full
5,109.0,road_viols,full
6,28.0,road_viols,full
7,37.0,road_viols,full
8,1309.0,road_viols,full
9,125.0,road_viols,full
10,25.0,road_viols,full
11,23.0,road_viols,full
12,32.0,road_viols,full
13,226.0,road_viols,full
14,280.0,road_viols,full
15,3.0,road_viols,full
16,19.0,road_viols,full
17,10.0,road_viols,full
18,40.0,road_viols,full
19,51.0,road_viols,full
20,1.0,road_viols,full
21,10.0,road_viols,full
22,4.0,road_viols,full
23,915.0,road_viols,full
24,40.0,road_viols,full
25,0.0,road_viols,full
26,12.0,road_viols,full
27,1236.0,road_viols,full
28,25.0,road_viols,full
29,608.0,road_viols,full
30,43.0,road_viols,full
31,0.0,road_viols,full
32,25.0,road_viols,full
33,42.0,road_viols,full
34,43.0,road_viols,full
35,290.0,road_viols,full
36,1833.0,road_viols,full
37,43.0,road_viols,full
38,1.0,road_viols,full
39,5.0,road_viols,full
40,0.0,road_viols,full
41,2.0,road_viols,full
42,93.0,road_viols,full
43,20.0,road_viols,full
44,2.0,road_viols,full
45,12.0,road_viols,full
46,27.0,road_viols,full
47,117.0,road_viols,full
48,75.0,road_viols,full
49,18.0,road_viols,full
50,1.0,road_viols,full
51,11.0,road_viols,full
52,12.0,road_viols,full
53,26.0,road_viols,full
54,42.0,road_viols,full
55,15.0,road_viols,full
56,2.0,road_viols,full
57,9.0,road_viols,full
58,10.0,road_viols,full
59,5.0,road_viols,full
60,164.0,road_viols,full
61,12.0,road_viols,full
62,3.0,road_viols,full
63,19.0,road_viols,full
64,2.0,road_viols,full
65,0.0,road_viols,full
66,35.0,road_viols,full
67,0.0,road_viols,full
68,6.0,road_viols,full
69,20.0,road_viols,full
70,2.0,road_viols,full
71,0.0,road_viols,full
72,108.0,road_viols,full
73,0.0,road_viols,full
74,10.0,road_viols,full
75,38.0,road_viols,full
76,19.0,road_viols,full
77,18.0,road_viols,full
78,1.0,road_viols,full
79,76.0,road_viols,full
80,1.0,road_viols,full
81,24.0,road_viols,full
82,25.0,road_viols,full
83,10.0,road_viols,full
84,14.0,road_viols,full
85,0.0,road_viols,full
86,11.0,road_viols,full
87,0.0,road_viols,full
88,34.0,road_viols,full
89,26.0,road_viols,full
90,16.0,road_viols,full
91,668.0,road_viols,full
92,0.0,road_viols,full
93,2.0,road_viols,full
94,0.0,road_viols,full
95,70.0,road_viols,full
96,192.0,road_viols,full
97,71.0,road_viols,full
98,50.0,road_viols,full
99,0.0,road_viols,full
100,5.0,road_viols,full
101,0.0,road_viols,full
102,93.0,road_viols,full
103,12.0,road_viols,full
104,433.0,road_viols,full
105,4.0,road_viols,full
106,0.0,road_viols,full
107,6.0,road_viols,full
108,8.0,road_viols,full
109,1419.0,road_viols,full
110,23.0,road_viols,full
111,697.0,road_viols,full
112,5.0,road_viols,full
113,1.0,road_viols,full
114,7.0,road_viols,full
115,79.0,road_viols,full
116,21.0,road_viols,full
117,80.0,road_viols,full
118,9.0,road_viols,full
119,1.0,road_viols,full
120,3.0,road_viols,full
121,3.0,road_viols,full
122,13.0,road_viols,full
123,986.0,road_viols,full
124,5.0,road_viols,full
125,0.0,road_viols,full
126,11.0,road_viols,full
127,15.0,road_viols,full
128,12.0,road_viols,full
129,952.0,road_viols,full
130,0.0,road_viols,full
131,1.0,road_viols,full
132,21.0,road_viols,full
133,1.0,road_viols,full
134,11.0,road_viols,full
135,0.0,road_viols,full
136,3.0,road_viols,full
137,4.0,road_viols,full
138,12.0,road_viols,full
139,1.0,road_viols,full
140,15.0,road_viols,full
141,16.0,road_viols,full
142,10.0,road_viols,full
143,1.0,road_viols,full
144,40.0,road_viols,full
145,0.0,road_viols,full
146,20.0,road_viols,full
147,2.0,road_viols,full
148,136.0,road_viols,full
149,0.0,road_viols,full
150,25.0,road_viols,full
151,2.0,road_viols,full
152,13.0,road_viols,full
153,11.0,road_viols,full
154,903.0,road_viols,full
155,0.0,road_viols,full
156,26.0,road_viols,full
157,2.0,road_viols,full
158,12.0,road_viols,full
159,11.0,road_viols,full
160,1158.0,road_viols,full
161,0.0,road_viols,full
162,5.0,road_viols,full
163,0.0,road_viols,full
164,25.0,road_viols,full
165,1.0,road_viols,full
166,1275.0,road_viols,full
167,1.0,road_viols,full
168,16.0,road_viols,full
169,0.0,road_viols,full
170,97.0,road_viols,full
171,0.0,road_viols,full
172,1594.0,road_viols,full
173,0.0,road_viols,full
174,21.0,road_viols,full
175,4.0,road_viols,full
176,105.0,road_viols,full
177,24.0,road_viols,full
178,1574.0,road_viols,full
179,4.0,road_viols,full
180,17.0,road_viols,full
181,84.0,road_viols,full
182,21.0,road_viols,full
183,0.0,road_viols,full
184,0.0,road_viols,full
185,0.0,road_viols,full
186,0.0,road_viols,full
