,value,metric,type
0,0.4955787827814704,ade,ml
1,1.2491629239150859,ade,ml
2,3.9889780253218134,ade,ml
3,0.634108415022432,ade,ml
4,2.0427296602093765,ade,ml
5,3.4345798997286785,ade,ml
6,0.8619844597123513,ade,ml
7,0.8532127517209845,ade,ml
8,0.70605961286573,ade,ml
9,2.9655444470037744,ade,ml
10,4.333833824219176,ade,ml
11,0.7205240320727627,ade,ml
12,1.1782123730384029,ade,ml
13,0.173875458880434,ade,ml
14,0.348689814939656,ade,ml
15,3.015111291315621,ade,ml
16,1.3041016203104314,ade,ml
17,0.1040918715256134,ade,ml
18,0.9943863690061345,ade,ml
19,1.9434362020378229,ade,ml
20,1.2224638754084616,ade,ml
21,0.19112791894203127,ade,ml
22,0.3530663086059025,ade,ml
23,1.1020646752874665,ade,ml
24,1.5615809950272033,ade,ml
25,0.889752546839913,ade,ml
26,0.0854301590725677,ade,ml
27,0.33523178704649886,ade,ml
28,1.3290360931523755,ade,ml
29,1.633765046586042,ade,ml
30,1.6521470278580512,ade,ml
31,0.6241393033284689,ade,ml
32,0.28399753044288567,ade,ml
33,0.3276079108145426,ade,ml
34,2.039833806316981,ade,ml
35,1.6142995388213934,ade,ml
36,0.15385935799969416,ade,ml
37,0.41758072342675284,ade,ml
38,0.147874760772721,ade,ml
39,2.9160409753585887,ade,ml
40,1.8394274744621415,ade,ml
41,0.48913531278674355,ade,ml
42,0.7863833063999389,ade,ml
43,0.605853819277124,ade,ml
44,1.1873304305175316,ade,ml
45,2.261946090990261,ade,ml
46,1.1638656660484854,ade,ml
47,0.7979683539602247,ade,ml
48,0.3513025847805506,ade,ml
49,0.8238140435910043,ade,ml
50,2.5553615152773688,ade,ml
51,1.9285152683350286,ade,ml
52,0.5650653727444778,ade,ml
53,0.42135763184002717,ade,ml
54,0.20272635991366883,ade,ml
55,1.6969968947616447,ade,ml
56,2.693214317371872,ade,ml
57,0.44804815034388595,ade,ml
58,0.48395590326476107,ade,ml
59,0.526487694593432,ade,ml
60,1.4342595909765594,ade,ml
61,1.697093706019093,ade,ml
62,0.38139992968392417,ade,ml
63,0.5873714347736074,ade,ml
64,0.8268400327016284,ade,ml
65,0.4440119639101893,ade,ml
66,2.3535139216707335,ade,ml
67,1.761318201733701,ade,ml
68,0.26674301626872005,ade,ml
69,0.20566421063152485,ade,ml
70,1.0607812781381079,ade,ml
71,0.2531704476683442,ade,ml
72,1.3399247892935264,ade,ml
73,2.004020837016937,ade,ml
74,0.058826711468703934,ade,ml
75,0.06572742935308755,ade,ml
76,1.2732329867839838,ade,ml
77,0.215943762917824,ade,ml
78,1.0958264797887618,ade,ml
79,2.142660571189804,ade,ml
80,0.13199803400490698,ade,ml
81,0.04023877578146429,ade,ml
82,0.3474130651097848,ade,ml
83,0.19356413056652477,ade,ml
84,0.4451905574712616,ade,ml
85,3.543688671195324,ade,ml
86,0.33605540091961633,ade,ml
87,0.16141735766316434,ade,ml
88,1.140998217758164,ade,ml
89,0.197168976806263,ade,ml
90,0.12065512787610182,ade,ml
91,2.667251725032029,ade,ml
92,0.39466633067876317,ade,ml
93,0.18436595866175928,ade,ml
94,0.8847259694654266,ade,ml
95,0.20264582933103095,ade,ml
96,0.22362135668000338,ade,ml
97,0.46073423569057964,ade,ml
98,0.1848655165109808,ade,ml
99,0.7357509301079649,ade,ml
100,0.2062241596785166,ade,ml
101,0.0995884756154539,ade,ml
102,0.4146899358257416,ade,ml
103,0.21748154162703712,ade,ml
104,0.5685325457417262,ade,ml
105,0.2127604012397372,ade,ml
106,0.13790142278484488,ade,ml
107,0.1095722115610313,ade,ml
108,0.22006240619999695,ade,ml
109,0.31979073798450325,ade,ml
110,0.2138610453825198,ade,ml
111,0.09247724601716228,ade,ml
112,0.1392577185832676,ade,ml
113,0.14652478139845115,ade,ml
114,0.49676269331020895,ade,ml
115,0.20987011653753385,ade,ml
116,0.7421641503388122,ade,ml
117,0.16087719213047805,ade,ml
118,0.2672423040913781,ade,ml
119,0.612752690398415,ade,ml
120,0.19875612154092023,ade,ml
121,0.7844451209655846,ade,ml
122,0.08153518816895629,ade,ml
123,0.055076832014422296,ade,ml
124,0.4729929254798276,ade,ml
125,0.14592555474507585,ade,ml
126,0.48983367063147504,ade,ml
127,0.06707513036703232,ade,ml
128,0.023034350117956643,ade,ml
129,0.15336571919527786,ade,ml
130,0.1525670876439752,ade,ml
131,0.22829975528961122,ade,ml
132,0.04893944283722837,ade,ml
133,0.09481253604468291,ade,ml
134,0.20288295647233953,ade,ml
135,0.1410104955039935,ade,ml
136,0.27450413727541045,ade,ml
137,0.05745015153582365,ade,ml
138,0.18210001792752298,ade,ml
139,0.2534787496007616,ade,ml
140,0.12118883026830564,ade,ml
141,0.23620791381023296,ade,ml
142,0.07631748856005098,ade,ml
143,0.2544136313052472,ade,ml
144,0.5066475869149202,ade,ml
145,0.11665278729954548,ade,ml
146,0.07832133096828864,ade,ml
147,0.09856328807006147,ade,ml
148,0.5331325706762641,ade,ml
149,0.8372095249015213,ade,ml
150,0.12526433208225898,ade,ml
151,0.08079532330611151,ade,ml
152,1.1116771867120254,ade,ml
153,0.10654918484730203,ade,ml
154,0.10030414613648503,ade,ml
155,0.22984869472771888,ade,ml
156,0.10612481236010969,ade,ml
157,0.19756061345658912,ade,ml
158,0.0896330819384721,ade,ml
159,0.19715826388551974,ade,ml
160,0.13727138563127944,ade,ml
161,0.23123075344510005,ade,ml
162,0.15803766690548568,ade,ml
163,0.24302552549312528,ade,ml
164,0.15350188441218926,ade,ml
165,0.2351224683998888,ade,ml
166,0.1032129156540423,ade,ml
167,0.2172488973755392,ade,ml
168,0.17899657412615919,ade,ml
169,0.23778609576069845,ade,ml
170,1.0029128328699024,ade,ml
171,0.6436729537955249,ade,ml
172,1.4276340553879452,ade,ml
173,1.7785269440425455,ade,ml
174,2.0638893594006738,ade,ml
175,2.1616386661341944,ade,ml
176,2.546881850236103,ade,ml
177,2.73488385694327,ade,ml
178,2.7295928322468,ade,ml
179,2.396133358405979,ade,ml
180,2.014213840851173,ade,ml
181,1.2869293921965028,ade,ml
182,1.267449786329558,ade,ml
183,0.20407950190073132,ade,ml
184,1.0963531625487863,ade,ml
185,0.32669209640085356,ade,ml
186,1.1840224619196287,ade,ml
187,0.3735808645469067,ade,ml
188,1.759451238509829,ade,ml
189,0.8002879800971937,ade,ml
190,1.9762359609882294,ade,ml
191,1.0625733567586073,ade,ml
192,1.9033038192201648,ade,ml
193,0.7647208376897122,ade,ml
194,2.5036731661318825,ade,ml
195,0.42516200867044013,ade,ml
196,2.3900429504048812,ade,ml
197,0.2909040124761706,ade,ml
198,1.350374223869635,ade,ml
199,0.3064679420436247,ade,ml
200,1.8416415354448423,ade,ml
201,0.37035168802832225,ade,ml
202,1.295053728132591,ade,ml
203,0.3811698535674531,ade,ml
204,0.18895887656289648,ade,ml
205,0.3629521427366091,ade,ml
206,0.15292888888246822,ade,ml
207,0.3949501704477179,ade,ml
208,0.1634781055192889,ade,ml
209,0.40816446710717286,ade,ml
210,0.1545005508741775,ade,ml
211,0.3343761709581967,ade,ml
212,0.1829239939082454,ade,ml
213,0.5712996953370046,ade,ml
214,0.21591118726636496,ade,ml
215,0.9190161437322889,ade,ml
216,0.17372904147732848,ade,ml
217,1.0951308582666401,ade,ml
218,0.35426506164001453,ade,ml
219,1.0083381882064713,ade,ml
