,value,metric,type
0,1.4271816221583096,fde,ml
1,3.8065705387172546,fde,ml
2,8.292736034456219,fde,ml
3,1.749136569090973,fde,ml
4,5.441558139301766,fde,ml
5,6.995968488509694,fde,ml
6,1.4552193134163687,fde,ml
7,1.8754542683363045,fde,ml
8,1.9197143167234383,fde,ml
9,7.27668419388486,fde,ml
10,9.863963607919612,fde,ml
11,1.7984973423645592,fde,ml
12,2.7472727263567904,fde,ml
13,0.32868278030850634,fde,ml
14,0.9812776103462855,fde,ml
15,6.887322771125531,fde,ml
16,2.9055523083749653,fde,ml
17,0.19710220059616881,fde,ml
18,2.21600384390533,fde,ml
19,4.030920067332634,fde,ml
20,2.527534278636985,fde,ml
21,0.28894540099963506,fde,ml
22,0.7595529637193424,fde,ml
23,2.6617593957519503,fde,ml
24,3.4840162335982576,fde,ml
25,1.6213040114032664,fde,ml
26,0.047465451031244964,fde,ml
27,0.5669884416638412,fde,ml
28,3.839815354087139,fde,ml
29,4.036987351469702,fde,ml
30,4.093264581422776,fde,ml
31,0.9875001037703605,fde,ml
32,0.6855687234259654,fde,ml
33,0.4829101155990919,fde,ml
34,4.902537976846607,fde,ml
35,3.940102527528769,fde,ml
36,0.4477039307956801,fde,ml
37,0.8900041537402188,fde,ml
38,0.0956582574725898,fde,ml
39,5.740331644529089,fde,ml
40,4.49109161827535,fde,ml
41,1.6581476391300458,fde,ml
42,1.5726460403674005,fde,ml
43,1.0954501784275685,fde,ml
44,1.603583368428497,fde,ml
45,5.192973676459223,fde,ml
46,3.6283935741837814,fde,ml
47,1.603554530623734,fde,ml
48,0.6184436606652873,fde,ml
49,1.4985970776550077,fde,ml
50,5.679063023040418,fde,ml
51,5.198706958985082,fde,ml
52,1.0018529539018064,fde,ml
53,0.7647038237563032,fde,ml
54,0.6134199289338002,fde,ml
55,4.09132408632558,fde,ml
56,6.162955357657752,fde,ml
57,0.7792973935280852,fde,ml
58,0.8356701861851522,fde,ml
59,1.6267854126585248,fde,ml
60,3.68914029490499,fde,ml
61,4.056483564873403,fde,ml
62,0.6614928317544252,fde,ml
63,0.8935045359513849,fde,ml
