,value,metric,type
0,0.6386357672474867,kde,full
1,2.725685309812457,kde,full
2,3.906106185117644,kde,full
3,0.610945317783872,kde,full
4,3.1953143726201487,kde,full
5,5.5312905222378665,kde,full
6,2.35728152584182,kde,full
7,2.1487370438670785,kde,full
8,0.8473534575208055,kde,full
9,4.110074670173168,kde,full
10,14.125608731456438,kde,full
11,0.5129574634018313,kde,full
12,2.6666516647570004,kde,full
13,-4.250012223089951,kde,full
14,0.01967384869562111,kde,full
15,3.5855075877387206,kde,full
16,2.9517239351276086,kde,full
17,-4.5287322909025916,kde,full
18,1.9578762326025116,kde,full
19,4.327308355518754,kde,full
20,2.18438475053989,kde,full
21,-3.922290145333105,kde,full
22,6.382336745811178,kde,full
23,2.125645500406482,kde,full
24,11.686229310794655,kde,full
25,0.11726659380620164,kde,full
26,-4.09552490961226,kde,full
27,8.604548372972456,kde,full
28,0.3357955724734293,kde,full
29,3.3064477207117378,kde,full
30,13.72459318920487,kde,full
31,-0.39150296706402105,kde,full
32,-2.539581633458329,kde,full
33,10.666026327539129,kde,full
34,1.3005678881024711,kde,full
35,12.063038617625992,kde,full
36,-1.724134832802102,kde,full
37,-0.26029539700723664,kde,full
38,3.785200564557,kde,full
39,2.225539655304929,kde,full
40,11.71200402310197,kde,full
41,-0.4530622640935536,kde,full
42,-2.9284357219376345,kde,full
43,3.849848058890384,kde,full
44,1.8834397788845876,kde,full
45,14.371472037043741,kde,full
46,1.4272944262707448,kde,full
47,-3.3475715515539095,kde,full
48,4.06932887693046,kde,full
49,0.6300534643943846,kde,full
50,16.65988368987938,kde,full
51,2.6591318874676926,kde,full
52,-3.0270331553357086,kde,full
53,-1.7132942042815646,kde,full
54,-0.284440060902975,kde,full
55,7.157366150835218,kde,full
56,4.537338797722963,kde,full
57,-1.7729035731715872,kde,full
58,2.7850762472697888,kde,full
59,3.696160791108238,kde,full
60,11.368793908356718,kde,full
61,1.7173615715007753,kde,full
62,-4.1266925278737645,kde,full
63,0.9613894229643729,kde,full
64,9.675018527758628,kde,full
65,-4.182571203576362,kde,full
66,20.0,kde,full
67,2.4155856511906397,kde,full
68,-3.5817359707948193,kde,full
69,-1.6846701389272596,kde,full
70,15.741972749147383,kde,full
71,-5.412907956758645,kde,full
72,2.5240352786241234,kde,full
73,7.3472109656843525,kde,full
74,-0.5211539693489928,kde,full
