,value,metric,type
0,33.0,road_viols,full
1,177.0,road_viols,full
2,2.0,road_viols,full
3,15.0,road_viols,full
4,106.0,road_viols,full
5,5.0,road_viols,full
6,49.0,road_viols,full
7,47.0,road_viols,full
8,13.0,road_viols,full
9,115.0,road_viols,full
10,364.0,road_viols,full
11,43.0,road_viols,full
12,19.0,road_viols,full
13,2.0,road_viols,full
14,23.0,road_viols,full
15,94.0,road_viols,full
16,8.0,road_viols,full
17,0.0,road_viols,full
18,31.0,road_viols,full
19,45.0,road_viols,full
20,2.0,road_viols,full
21,1.0,road_viols,full
22,256.0,road_viols,full
23,38.0,road_viols,full
24,21.0,road_viols,full
25,0.0,road_viols,full
26,2.0,road_viols,full
27,89.0,road_viols,full
28,0.0,road_viols,full
29,323.0,road_viols,full
30,14.0,road_viols,full
31,0.0,road_viols,full
32,0.0,road_viols,full
33,50.0,road_viols,full
34,0.0,road_viols,full
35,18.0,road_viols,full
36,0.0,road_viols,full
37,0.0,road_viols,full
38,0.0,road_viols,full
39,8.0,road_viols,full
40,50.0,road_viols,full
41,0.0,road_viols,full
42,0.0,road_viols,full
43,218.0,road_viols,full
44,30.0,road_viols,full
45,46.0,road_viols,full
46,6.0,road_viols,full
47,0.0,road_viols,full
48,0.0,road_viols,full
49,11.0,road_viols,full
50,30.0,road_viols,full
51,7.0,road_viols,full
52,1.0,road_viols,full
53,1.0,road_viols,full
54,0.0,road_viols,full
55,1.0,road_viols,full
56,11.0,road_viols,full
57,0.0,road_viols,full
58,1.0,road_viols,full
59,0.0,road_viols,full
60,0.0,road_viols,full
61,6.0,road_viols,full
62,2.0,road_viols,full
63,0.0,road_viols,full
64,0.0,road_viols,full
65,1.0,road_viols,full
66,0.0,road_viols,full
67,0.0,road_viols,full
68,0.0,road_viols,full
69,0.0,road_viols,full
70,0.0,road_viols,full
71,0.0,road_viols,full
72,0.0,road_viols,full
73,12.0,road_viols,full
74,0.0,road_viols,full
75,0.0,road_viols,full
76,0.0,road_viols,full
77,0.0,road_viols,full
78,0.0,road_viols,full
79,10.0,road_viols,full
80,8.0,road_viols,full
81,0.0,road_viols,full
82,0.0,road_viols,full
83,0.0,road_viols,full
84,0.0,road_viols,full
85,55.0,road_viols,full
86,0.0,road_viols,full
87,0.0,road_viols,full
88,0.0,road_viols,full
89,0.0,road_viols,full
90,0.0,road_viols,full
91,5.0,road_viols,full
92,0.0,road_viols,full
93,0.0,road_viols,full
94,0.0,road_viols,full
95,0.0,road_viols,full
96,0.0,road_viols,full
97,0.0,road_viols,full
98,1.0,road_viols,full
99,0.0,road_viols,full
100,0.0,road_viols,full
101,0.0,road_viols,full
102,0.0,road_viols,full
103,0.0,road_viols,full
104,0.0,road_viols,full
105,0.0,road_viols,full
106,0.0,road_viols,full
107,0.0,road_viols,full
108,2.0,road_viols,full
109,0.0,road_viols,full
110,0.0,road_viols,full
111,0.0,road_viols,full
112,0.0,road_viols,full
113,0.0,road_viols,full
114,0.0,road_viols,full
